4836,88.52,0.3224,0.7113,4836,0.4632,0.2514,8,6,-1.00,300,10,6,1,100,0.9,0.8,0.4,0.4,96502,23297,5373,3.95,17.87,66.70,4.21
4857,103.72,0.3329,0.7256,4867,0.4574,0.2471,16,6,-1.00,500,8,6,1,100,0.9,0.8,0.4,0.4,105713,18694,5815,7.05,24.64,72.03,4.29
5216,90.73,0.3538,0.6962,5216,0.4524,0.2391,8,4,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,68019,14422,5760,3.94,18.28,68.51,4.12
5248,91.37,0.3380,0.6878,5248,0.4592,0.2444,8,4,-1.00,300,6,6,1,100,0.9,0.8,0.4,0.4,111994,16086,5649,3.99,18.74,68.64,4.15
5325,92.52,0.3519,0.6915,5325,0.4508,0.2375,8,4,-1.00,500,6,4,1,100,0.9,0.8,0.4,0.4,68019,14512,5850,3.96,18.33,70.23,4.16

k=2000
6480,125.11,0.3350,0.6730,6483,0.4543,0.2411,8,4,-1.00,300,10,6,1,100,0.9,0.8,0.4,0.4,111994,26719,7129,3.93,30.32,90.86,4.16
6587,127.67,0.3494,0.6762,6589,0.4405,0.2282,8,4,-1.00,500,10,4,1,300,0.9,0.8,0.4,0.4,68019,24061,7481,3.95,29.46,94.26,4.05
6722,131.11,0.3489,0.6756,6725,0.4419,0.2301,8,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,68019,24217,7638,3.94,29.54,97.63,4.08
6783,140.90,0.3369,0.6716,6790,0.4422,0.2307,16,4,-1.00,500,6,6,1,300,0.9,0.8,0.4,0.4,135875,20481,7835,7.13,34.94,98.83,4.27
6818,144.86,0.3191,0.6975,6833,0.4426,0.2349,24,6,-1.00,500,6,6,1,300,0.9,0.8,0.4,0.4,156288,23640,8382,9.90,27.54,107.42,4.17
6824,140.28,0.3364,0.6730,6831,0.4416,0.2302,16,4,-1.00,500,6,6,1,100,0.9,0.8,0.4,0.4,135875,20502,7891,7.12,34.71,98.45,4.27
6937,124.98,0.3120,0.6906,6941,0.4445,0.2359,8,6,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,96502,30919,7940,3.97,18.94,102.07,4.12
6990,148.91,0.3191,0.6973,7001,0.4412,0.2335,24,6,-1.00,500,6,6,1,100,0.9,0.8,0.4,0.4,156288,23694,8519,9.98,27.42,111.51,4.09
7024,116.79,0.3129,0.6938,7026,0.4454,0.2369,8,6,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,96502,21234,7811,3.97,12.17,100.65,3.93
7520,154.26,0.3027,0.6805,7528,0.4454,0.2371,16,6,-1.00,300,6,6,1,300,0.9,0.8,0.4,0.4,192433,29012,8792,7.10,27.35,119.81,4.32
7721,133.92,0.3320,0.6610,7723,0.4405,0.2286,8,4,-1.00,300,6,4,1,300,0.9,0.8,0.4,0.4,111994,23380,8518,3.97,20.42,109.53,4.12
7878,157.66,0.3166,0.6887,7883,0.4347,0.2286,16,6,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,105713,23989,9599,7.09,21.28,129.29,4.21
7890,177.28,0.3345,0.6607,7904,0.4350,0.2247,16,4,-1.00,500,8,6,1,300,0.9,0.8,0.4,0.4,135875,27398,9344,7.09,45.57,124.62,4.25
7958,178.34,0.3339,0.6588,7967,0.4339,0.2237,16,4,-1.00,500,8,6,1,100,0.9,0.8,0.4,0.4,135875,27425,9412,7.08,45.23,126.03,4.21
8004,184.29,0.3167,0.6875,8014,0.4373,0.2311,24,6,-1.00,500,8,6,1,300,0.9,0.8,0.4,0.4,156288,31577,10071,10.02,36.15,138.12,4.03
8149,143.95,0.3094,0.6827,8152,0.4389,0.2318,8,6,-1.00,300,8,4,1,100,0.9,0.8,0.4,0.4,96502,28304,9213,3.98,15.35,124.62,4.12
8156,188.05,0.3155,0.6851,8167,0.4361,0.2296,24,6,-1.00,500,8,6,1,100,0.9,0.8,0.4,0.4,156288,31652,10250,9.93,36.24,141.88,4.12
8240,163.23,0.3145,0.6847,8246,0.4330,0.2275,16,6,-1.00,500,6,4,1,100,0.9,0.8,0.4,0.4,105713,24401,10011,7.07,20.46,135.70,4.26

k=3000
7890,177.28,0.3345,0.6607,7904,0.4350,0.2247,16,4,-1.00,500,8,6,1,300,0.9,0.8,0.4,0.4,135875,27398,9344,7.09,45.57,124.62,4.25
7958,178.34,0.3339,0.6588,7967,0.4339,0.2237,16,4,-1.00,500,8,6,1,100,0.9,0.8,0.4,0.4,135875,27425,9412,7.08,45.23,126.03,4.21
8004,184.29,0.3167,0.6875,8014,0.4373,0.2311,24,6,-1.00,500,8,6,1,300,0.9,0.8,0.4,0.4,156288,31577,10071,10.02,36.15,138.12,4.03
8156,188.05,0.3155,0.6851,8167,0.4361,0.2296,24,6,-1.00,500,8,6,1,100,0.9,0.8,0.4,0.4,156288,31652,10250,9.93,36.24,141.88,4.12
8240,163.23,0.3145,0.6847,8246,0.4330,0.2275,16,6,-1.00,500,6,4,1,100,0.9,0.8,0.4,0.4,105713,24401,10011,7.07,20.46,135.70,4.26
