K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.236316,0.465415,70.93,68.39,1000,10,1,0.40,0.40,2,62.65,59.69,7.82,8.06,140.82,140.25
2000,0.207929,0.435407,148.14,140.15,2000,10,1,0.40,0.40,2,132.84,125.46,13.70,13.02,269.87,255.67
3000,0.192796,0.418406,230.90,224.21,3000,10,1,0.40,0.40,2,207.59,202.28,20.80,19.12,415.61,393.52
4000,0.183445,0.407858,306.51,303.87,4000,10,1,0.40,0.40,2,277.26,276.80,26.70,24.44,544.30,521.21
5000,0.176750,0.399817,387.61,393.09,5000,10,1,0.40,0.40,2,349.48,357.46,34.30,31.58,692.44,673.22
6000,0.170788,0.392235,470.63,483.32,6000,10,1,0.40,0.40,2,424.34,439.95,41.64,38.38,840.73,823.76
7000,0.166391,0.387244,561.49,586.15,7000,10,1,0.40,0.40,2,506.51,534.87,49.55,45.55,1002.02,990.37
8000,0.162320,0.382035,654.33,690.05,8000,10,1,0.40,0.40,2,590.80,630.65,57.51,53.06,1165.94,1161.27
9000,0.159381,0.378265,736.25,788.26,9000,10,1,0.40,0.40,2,663.98,720.61,65.11,60.20,1315.06,1322.65
10000,0.156307,0.374242,823.46,890.82,10000,10,1,0.40,0.40,2,741.91,815.82,73.50,67.43,1476.89,1490.10
