K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.210902,0.438720,267.24,256.34,1000,10,1,0.40,0.40,3,383.10,369.63,56.02,52.60,943.34,895.64
2000,0.183025,0.409666,528.35,506.88,2000,10,1,0.40,0.40,3,824.38,797.08,100.39,93.11,1828.23,1728.16
3000,0.168142,0.391511,1052.06,1011.15,3000,10,1,0.40,0.40,3,892.41,862.66,158.07,146.94,2473.13,2332.02
4000,0.159453,0.380642,1281.44,1230.82,4000,10,1,0.40,0.40,3,1079.31,1043.65,200.50,185.53,3084.33,2898.90
5000,0.152627,0.371378,1493.17,1433.68,5000,10,1,0.40,0.40,3,1224.83,1183.96,266.65,248.02,3891.33,3664.17
5999,0.146849,0.363486,1851.94,1779.03,6000,10,1,0.40,0.40,3,1521.52,1471.68,327.12,304.03,4792.72,4511.95
7000,0.142040,0.357401,2299.32,2210.94,7000,10,1,0.40,0.40,3,1901.50,1839.85,394.52,367.79,5846.68,5517.71
7999,0.138478,0.352517,2542.80,2443.00,8000,10,1,0.40,0.40,3,2083.19,2013.90,455.76,425.25,6640.83,6266.42
8998,0.135708,0.349186,3228.95,3107.32,9000,10,1,0.40,0.40,3,2700.64,2613.43,525.37,490.90,7954.36,7522.42
10000,0.133325,0.345369,3410.16,3278.77,10000,10,1,0.40,0.40,3,2813.79,2721.34,592.17,553.22,8735.51,8253.53
