Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=4000
13810,304.34,0.3258,0.6185,13831,0.4106,0.2054,16,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,135875,48345,17367,7.13,51.32,245.89,4.16
13903,295.36,0.2919,0.6406,13930,0.4163,0.2143,16,6,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,192433,56600,17417,7.10,34.57,253.69,4.19
14263,311.70,0.3251,0.6165,14283,0.4093,0.2043,16,4,-1.00,500,8,4,1,100,0.9,0.8,0.4,0.4,135875,48822,17895,7.14,51.69,252.87,4.12
14568,338.80,0.2990,0.6357,14607,0.4092,0.2086,24,6,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,156288,55311,19869,10.00,39.92,288.88,3.84
14891,326.69,0.3246,0.6094,14914,0.4074,0.2027,16,4,-1.00,500,10,4,1,300,0.9,0.8,0.4,0.4,135875,60355,18961,7.09,52.43,267.17,3.91

k=5000
15434,349.68,0.3234,0.6088,15457,0.4064,0.2023,16,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,135875,60954,19611,7.12,63.94,278.62,3.89
15436,359.37,0.2960,0.6300,15465,0.4075,0.2078,24,6,-1.00,500,8,4,1,100,0.9,0.8,0.4,0.4,156288,56391,21000,9.93,40.18,309.26,3.87
15749,377.69,0.2970,0.6279,15777,0.4059,0.2061,24,6,-1.00,500,10,4,1,300,0.9,0.8,0.4,0.4,156288,69088,21835,9.99,49.32,318.38,3.82
16733,396.42,0.2937,0.6240,16776,0.4034,0.2044,24,6,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,156288,70422,23171,9.91,49.31,337.20,3.80
17203,352.73,0.3112,0.5928,17241,0.4066,0.2025,16,4,-1.00,300,6,4,1,300,0.9,0.8,0.4,0.4,225069,56682,20735,7.15,44.87,300.71,3.92
18326,379.11,0.2854,0.6198,18345,0.4047,0.2055,16,6,-1.00,300,8,4,1,100,0.9,0.8,0.4,0.4,192433,67321,22928,7.06,35.54,336.51,4.10

k=6000
18823,407.49,0.3179,0.5905,18878,0.3974,0.1956,24,4,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,198888,62566,24217,10.27,53.41,343.81,3.90
19486,418.73,0.3048,0.5785,19538,0.4043,0.2009,24,4,-1.00,300,6,6,1,100,0.9,0.8,0.4,0.4,329041,65292,23656,10.34,65.94,342.45,3.91
19487,420.38,0.3161,0.5876,19545,0.3965,0.1951,24,4,-1.00,500,6,4,1,100,0.9,0.8,0.4,0.4,198888,63247,25051,10.26,52.99,357.13,3.95
19523,416.62,0.3096,0.5829,19566,0.4019,0.1990,16,4,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,225069,75537,24486,7.11,58.74,350.77,3.97
19835,420.94,0.2842,0.6138,19876,0.4005,0.2020,16,6,-1.00,300,10,4,1,100,0.9,0.8,0.4,0.4,192433,84072,25157,7.05,43.61,370.28,4.10
20858,411.45,0.3075,0.5768,20905,0.3991,0.1967,16,4,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,225069,65211,25232,7.15,37.91,366.39,4.11

k=7000
20931,468.58,0.3092,0.5755,20994,0.3985,0.1964,16,4,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,225069,94238,26566,7.17,74.70,386.71,3.91
21539,491.07,0.2809,0.5979,21621,0.3980,0.2007,24,6,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,284476,92960,29145,9.95,52.95,428.17,3.84
21588,512.39,0.3157,0.5807,21675,0.3932,0.1929,24,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,198888,83321,29127,10.26,82.06,420.07,3.87
22393,523.06,0.3139,0.5779,22490,0.3917,0.1916,24,4,-1.00,500,8,4,1,100,0.9,0.8,0.4,0.4,198888,84230,30219,10.22,79.97,432.87,3.88
22461,517.20,0.3032,0.5674,22530,0.3995,0.1976,24,4,-1.00,300,8,6,1,100,0.9,0.8,0.4,0.4,329041,87174,28158,10.24,91.44,415.52,3.94

k=8000
23145,562.88,0.3147,0.5735,23239,0.3903,0.1905,24,4,-1.00,500,10,4,1,300,0.9,0.8,0.4,0.4,198888,104014,31836,10.08,98.00,454.80,3.80
24110,584.63,0.3130,0.5713,24201,0.3889,0.1895,24,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,198888,105162,33138,10.17,99.28,475.18,3.85
24297,571.88,0.3030,0.5613,24397,0.3956,0.1945,24,4,-1.00,300,10,6,1,100,0.9,0.8,0.4,0.4,329041,108889,30908,10.14,110.44,451.30,3.94
25742,551.13,0.3044,0.5614,25798,0.3912,0.1910,16,4,-1.00,300,10,4,1,100,0.9,0.8,0.4,0.4,225069,108349,32785,7.22,71.12,472.79,3.93
26476,565.95,0.3039,0.5575,26578,0.3891,0.1900,24,4,-1.00,300,6,4,1,300,0.9,0.8,0.4,0.4,329041,94788,33974,10.20,64.50,491.25,3.96

k=9000
28888,647.70,0.2724,0.5754,28986,0.3861,0.1918,24,6,-1.00,300,8,4,1,100,0.9,0.8,0.4,0.4,284476,113655,39471,10.01,54.66,583.03,3.80
30058,698.83,0.3017,0.5478,30223,0.3841,0.1862,24,4,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,329041,126305,40428,10.21,92.98,595.64,3.94
32330,695.91,0.2978,0.5427,32490,0.3818,0.1845,24,4,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,329041,110359,41934,10.19,64.54,621.18,3.91

k=10000
30058,698.83,0.3017,0.5478,30223,0.3841,0.1862,24,4,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,329041,126305,40428,10.21,92.98,595.64,3.94
31181,721.11,0.2714,0.5697,31283,0.3831,0.1898,24,6,-1.00,300,10,4,1,100,0.9,0.8,0.4,0.4,284476,142015,43427,10.01,62.85,648.25,3.81
32135,766.13,0.3020,0.5446,32314,0.3821,0.1850,24,4,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,329041,157701,43961,10.31,116.36,639.46,3.90
32330,695.91,0.2978,0.5427,32490,0.3818,0.1845,24,4,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,329041,110359,41934,10.19,64.54,621.18,3.91
