K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
10,0.469170,0.676120,108.28,107.96,10,10,6,0.40,0.40,2,16.99,16.92,15.14,15.10,168.44,167.96
999,0.201025,0.430724,911.59,853.88,1000,10,8,0.40,0.40,2,458.16,426.93,56.54,53.23,1023.59,959.25
1995,0.173717,0.400294,1880.75,1752.04,2000,10,9,0.40,0.40,2,993.13,927.43,98.50,91.50,1978.11,1842.41
2994,0.160848,0.383972,3132.93,2925.74,3000,10,10,0.40,0.40,2,1572.83,1473.61,156.01,145.21,3132.93,2925.74
3995,0.152202,0.372873,4087.70,3809.93,4000,10,10,0.40,0.40,2,2117.66,1982.44,197.00,182.75,4087.70,3809.93
4986,0.145192,0.363926,5305.59,4959.18,5000,10,10,0.40,0.40,2,2684.01,2517.75,262.16,244.14,5305.59,4959.18
5988,0.140084,0.356996,6454.39,6027.41,6000,10,10,0.40,0.40,2,3247.52,3042.74,320.69,298.47,6454.39,6027.41
6981,0.136298,0.351908,7336.17,6869.80,7000,10,9,0.40,0.40,2,3886.92,3649.57,382.72,357.28,7714.15,7222.37
7984,0.132204,0.346381,8989.20,8427.75,8000,10,10,0.40,0.40,2,4536.23,4266.46,445.30,416.13,8989.20,8427.75
8978,0.129243,0.342272,10181.18,9549.71,9000,10,10,0.40,0.40,2,5101.34,4799.85,507.98,474.99,10181.18,9549.71
9979,0.126517,0.338451,11417.45,10703.57,10000,10,10,0.40,0.40,2,5708.91,5369.49,570.85,533.41,11417.45,10703.57

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.203759,0.431412,662.45,627.96,1000,10,8,0.40,0.40,3,210.59,203.11,56.46,53.09,775.24,734.00
2000,0.177754,0.404034,1124.12,1059.60,2000,10,7,0.40,0.40,3,426.99,412.63,99.46,92.29,1421.55,1335.52
3000,0.162816,0.385341,2473.13,2332.02,3000,10,10,0.40,0.40,3,892.41,862.66,158.07,146.94,2473.13,2332.02
4000,0.154831,0.375165,2683.52,2528.08,4000,10,8,0.40,0.40,3,1079.31,1043.65,200.50,185.53,3084.33,2898.90
5000,0.148381,0.366293,3624.84,3416.31,5000,10,9,0.40,0.40,3,1224.83,1183.96,266.65,248.02,3891.33,3664.17
5999,0.142904,0.358679,4139.19,3904.69,6000,10,8,0.40,0.40,3,1521.52,1471.68,327.12,304.03,4792.72,4511.95
7000,0.138140,0.352480,5846.68,5517.71,7000,10,10,0.40,0.40,3,1901.50,1839.85,394.52,367.79,5846.68,5517.71
7999,0.134576,0.347515,6185.51,5841.60,8000,10,9,0.40,0.40,3,2083.19,2013.90,455.76,425.25,6640.83,6266.42
8998,0.131565,0.343818,7429.44,7031.96,9000,10,9,0.40,0.40,3,2700.64,2613.43,525.37,490.90,7954.36,7522.42
10000,0.129326,0.340127,8143.96,7700.95,10000,10,9,0.40,0.40,3,2813.79,2721.34,592.17,553.22,8735.51,8253.53
