8998,0.135708,0.349186,3228.95,3107.32,9000,10,1,516.72+11.59=528.31,482.33+11.56=493.89,3
8998,0.132712,0.345270,3754.98,3598.83,9000,10,2,514.49+11.54=526.03,480.01+11.50=491.51,3
8998,0.131977,0.344327,4280.33,4089.68,9000,10,3,513.80+11.55=525.35,479.33+11.52=490.85,3
8998,0.131736,0.344033,4805.32,4580.16,9000,10,4,513.42+11.56=524.98,478.96+11.52=490.48,3
8998,0.131632,0.343907,5330.18,5070.56,9000,10,5,513.38+11.49=524.86,478.96+11.44=490.40,3
8998,0.131584,0.343842,5854.88,5560.83,9000,10,6,513.23+11.47=524.70,478.84+11.43=490.27,3
8998,0.131570,0.343823,6379.79,6051.24,9000,10,7,513.35+11.56=524.91,478.89+11.52=490.41,3
8998,0.131565,0.343818,6904.57,6541.56,9000,10,8,513.26+11.52=524.78,478.84+11.48=490.32,3
8998,0.131565,0.343818,7429.44,7031.96,9000,10,9,513.34+11.54=524.87,478.90+11.50=490.40,3
8998,0.131565,0.343818,7954.36,7522.42,9000,10,10,513.41+11.52=524.92,478.98+11.48=490.46,3
