Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
20,0.857245,0.925336,1.44,0.77,20,10,8,0.20,0.20,3,0.98,0.50,0.06,0.03,1.54,0.82
20,0.849067,0.920745,0.86,0.84,20,10,10,0.20,0.20,3,0.53,0.51,0.03,0.03,0.86,0.84
20,0.857452,0.925438,0.77,0.77,20,10,8,0.20,0.20,3,0.50,0.51,0.03,0.03,0.84,0.83
20,0.849639,0.921158,1.39,0.72,20,10,8,0.20,0.20,3,0.94,0.47,0.06,0.03,1.50,0.79
20,0.851430,0.922027,1.47,0.78,20,10,10,0.20,0.20,3,0.92,0.47,0.05,0.03,1.47,0.78
20,0.853095,0.922922,1.50,0.80,20,10,9,0.20,0.20,3,1.02,0.51,0.05,0.03,1.55,0.82
20,0.847964,0.920165,1.41,0.74,20,10,8,0.20,0.20,3,0.95,0.47,0.06,0.03,1.51,0.80
20,0.854901,0.923906,1.24,0.64,20,10,5,0.20,0.20,3,0.97,0.49,0.06,0.03,1.53,0.81
20,0.853262,0.923143,1.42,0.73,20,10,8,0.20,0.20,3,0.98,0.46,0.06,0.03,1.53,0.80

40,0.833432,0.911933,1.44,0.76,40,10,7,0.20,0.20,3,1.02,0.51,0.06,0.03,1.61,0.86
40,0.834712,0.912756,1.51,0.78,40,10,8,0.20,0.20,3,1.02,0.51,0.06,0.03,1.63,0.85
40,0.837042,0.914140,1.55,0.82,40,10,9,0.20,0.20,3,1.01,0.51,0.06,0.03,1.61,0.86
40,0.833026,0.911672,1.55,0.83,40,10,9,0.20,0.20,3,1.01,0.51,0.06,0.04,1.61,0.87
40,0.833131,0.911876,1.64,0.87,40,10,10,0.20,0.20,3,1.03,0.52,0.06,0.03,1.64,0.87
40,0.832992,0.911775,1.52,0.80,40,10,8,0.20,0.20,3,1.02,0.52,0.06,0.04,1.63,0.88
40,0.835981,0.913276,1.63,0.86,40,10,10,0.20,0.20,3,1.02,0.51,0.06,0.03,1.63,0.86
40,0.836404,0.913544,1.33,0.70,40,10,6,0.20,0.20,3,0.97,0.49,0.06,0.03,1.57,0.83
40,0.833066,0.911811,1.61,0.84,40,10,10,0.20,0.20,3,1.03,0.50,0.06,0.03,1.61,0.84
40,0.831574,0.911043,1.81,0.81,40,10,9,0.20,0.20,3,1.28,0.50,0.06,0.03,1.87,0.85
40,0.831791,0.910929,1.70,0.72,40,10,7,0.20,0.20,3,1.30,0.48,0.06,0.03,1.88,0.82
40,0.834006,0.912398,1.76,0.90,40,10,10,0.20,0.20,3,1.40,0.54,0.04,0.04,1.76,0.90
40,0.833732,0.912184,0.87,0.86,40,10,9,0.20,0.20,3,0.54,0.54,0.04,0.03,0.90,0.89
40,0.832833,0.911597,0.83,0.83,40,10,8,0.20,0.20,3,0.55,0.55,0.03,0.03,0.90,0.89

60,0.821709,0.905058,1.55,0.82,60,10,8,0.20,0.20,3,1.03,0.53,0.06,0.04,1.68,0.89
60,0.819704,0.903958,1.53,0.81,60,10,8,0.20,0.20,3,1.03,0.52,0.06,0.03,1.64,0.87
60,0.820807,0.904443,1.57,0.86,60,10,10,0.20,0.20,3,0.98,0.50,0.06,0.04,1.57,0.86
60,0.821260,0.904822,1.69,0.89,60,10,10,0.20,0.20,3,1.05,0.52,0.06,0.04,1.69,0.89
60,0.820846,0.904388,1.63,0.87,60,10,10,0.20,0.20,3,1.02,0.51,0.06,0.04,1.63,0.87
60,0.821092,0.904865,1.62,0.85,60,10,10,0.20,0.20,3,1.02,0.50,0.06,0.03,1.62,0.85
60,0.820013,0.904169,3.81,0.88,60,10,10,0.20,0.20,3,1.02,0.53,0.28,0.03,3.81,0.88
60,0.820014,0.904176,1.95,0.86,60,10,10,0.20,0.20,3,1.33,0.50,0.06,0.04,1.95,0.86
60,0.821641,0.905298,1.97,0.89,60,10,10,0.20,0.20,3,1.03,0.53,0.09,0.04,1.97,0.89
60,0.818719,0.903551,1.96,0.90,60,10,10,0.20,0.20,3,1.31,0.52,0.06,0.04,1.96,0.90
60,0.820238,0.904082,1.92,0.85,60,10,10,0.20,0.20,3,1.00,0.49,0.09,0.04,1.92,0.85
60,0.822572,0.905852,1.90,0.86,60,10,9,0.20,0.20,3,1.03,0.52,0.09,0.04,1.96,0.89
60,0.822065,0.905420,2.06,0.93,60,10,10,0.20,0.20,3,1.08,0.55,0.10,0.04,2.06,0.93

80,0.810543,0.898832,2.09,0.97,80,10,10,0.20,0.20,3,1.09,0.57,0.10,0.04,2.09,0.97
80,0.809464,0.897964,2.07,0.95,80,10,10,0.20,0.20,3,1.09,0.55,0.10,0.04,2.07,0.95
80,0.809840,0.898137,2.07,0.95,80,10,10,0.20,0.20,3,1.07,0.56,0.10,0.04,2.07,0.95
80,0.809983,0.898280,1.80,0.98,80,10,10,0.20,0.20,3,1.11,0.59,0.07,0.04,1.80,0.98
80,0.808448,0.897174,1.06,1.07,80,10,10,0.20,0.20,3,0.65,0.65,0.04,0.04,1.06,1.07
80,0.810260,0.898445,1.06,1.04,80,10,10,0.20,0.20,3,0.64,0.62,0.04,0.04,1.06,1.04
80,0.809278,0.897858,1.73,0.93,80,10,10,0.20,0.20,3,1.06,0.54,0.07,0.04,1.73,0.93
80,0.809539,0.898038,1.73,0.93,80,10,10,0.20,0.20,3,1.06,0.53,0.07,0.04,1.73,0.93
80,0.810583,0.898565,1.77,0.94,80,10,10,0.20,0.20,3,1.09,0.56,0.07,0.04,1.77,0.94
80,0.811212,0.898962,1.77,0.94,80,10,10,0.20,0.20,3,1.09,0.55,0.07,0.04,1.77,0.94
80,0.810515,0.898677,1.73,0.93,80,10,10,0.20,0.20,3,1.07,0.55,0.07,0.04,1.73,0.94
80,0.810555,0.898719,1.73,0.93,80,10,10,0.20,0.20,3,1.07,0.56,0.07,0.04,1.73,0.93
80,0.810710,0.898745,1.70,0.91,80,10,9,0.20,0.20,3,1.10,0.56,0.07,0.04,1.77,0.95
80,0.810284,0.898549,3.32,0.89,80,10,8,0.20,0.20,3,2.79,0.58,0.07,0.04,3.45,0.97
80,0.807630,0.896918,1.79,0.98,80,10,10,0.20,0.20,3,1.13,0.59,0.07,0.04,1.79,0.98

100,0.800274,0.892524,1.78,0.96,100,10,10,0.20,0.20,3,1.10,0.57,0.07,0.04,1.78,0.96
100,0.801229,0.892863,1.80,0.98,100,10,10,0.20,0.20,3,1.13,0.60,0.07,0.04,1.80,0.98
100,0.803330,0.894406,1.78,0.96,100,10,10,0.20,0.20,3,1.10,0.57,0.07,0.04,1.78,0.96
100,0.802744,0.893682,1.83,0.99,100,10,10,0.20,0.20,3,1.16,0.60,0.07,0.04,1.83,0.99
100,0.804101,0.894921,1.78,0.96,100,10,10,0.20,0.20,3,1.11,0.58,0.07,0.04,1.78,0.96
100,0.801673,0.893188,1.80,0.97,100,10,10,0.20,0.20,3,1.12,0.57,0.07,0.04,1.80,0.97
100,0.799598,0.892060,1.85,1.01,100,10,10,0.20,0.20,3,1.15,0.61,0.07,0.04,1.85,1.01
100,0.800759,0.892625,1.71,0.94,100,10,9,0.20,0.20,3,1.12,0.60,0.06,0.04,1.77,0.98
100,0.801671,0.893127,1.08,1.06,100,10,10,0.20,0.20,3,0.66,0.64,0.04,0.04,1.08,1.06
