SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
60,0.109626,0.818223,0.903123,0.367122,1.16,7.44,0.2,0.2,3
60,0.120586,0.820214,0.904229,0.37219,1.15,7.68,0.2,0.2,3
60,0.112596,0.82051,0.904502,0.362104,1.21,9.03,0.2,0.2,3
60,0.115971,0.81721,0.902509,0.377208,1.26,8.16,0.2,0.2,3
60,0.118939,0.820615,0.904614,0.392563,1.5,7.72,0.2,0.2,3
60,0.130152,0.819009,0.903569,0.393517,1.14,7.19,0.2,0.2,3
60,0.12168,0.820864,0.904738,0.389904,1.2,7.59,0.2,0.2,3
60,0.121543,0.820224,0.904335,0.388499,1.15,7.3,0.2,0.2,3
60,0.112536,0.819368,0.90379,0.373193,1.28,11.44,0.2,0.2,3
60,0.118018,0.817617,0.902818,0.384986,1.2,7.27,0.2,0.2,3

80,0.105432,0.809584,0.898112,0.401244,1.22,7.64,0.2,0.2,3
80,0.110397,0.810074,0.898413,0.421668,1.24,9.17,0.2,0.2,3
80,0.117181,0.808288,0.897492,0.422621,1.5,7.77,0.2,0.2,3
80,0.114509,0.809498,0.897945,0.395424,1.23,8,0.2,0.2,3
80,0.114892,0.810126,0.898294,0.398183,1.15,6.47,0.2,0.2,3
80,0.104974,0.812155,0.899667,0.400642,1.25,7.8,0.2,0.2,3
80,0.100997,0.810393,0.898395,0.374849,1.22,7.61,0.2,0.2,3
80,0.104771,0.810178,0.898452,0.414593,1.37,12.31,0.2,0.2,3
80,0.112683,0.808595,0.897628,0.427188,1.2,7.5,0.2,0.2,3
80,0.109326,0.808232,0.897305,0.400893,1.23,7.89,0.2,0.2,3
80,0.114546,0.809648,0.89818,0.407969,1.22,7.02,0.2,0.2,3
80,0.113955,0.810221,0.898193,0.39728,1.31,8.2,0.2,0.2,3
80,0.119111,0.810212,0.898431,0.39452,1.24,7.14,0.2,0.2,3
80,0.109568,0.808651,0.897549,0.398585,1.27,7.85,0.2,0.2,3
80,0.118435,0.808764,0.897597,0.400893,1.35,9.14,0.2,0.2,3
80,0.108295,0.808699,0.897671,0.412987,1.51,14.61,0.2,0.2,3
80,0.107558,0.811173,0.899076,0.393416,1.37,10.03,0.2,0.2,3
80,0.115344,0.811298,0.899252,0.398836,1.55,7.65,0.2,0.2,3
80,0.115646,0.806399,0.896049,0.424829,1.34,8.37,0.2,0.2,3
80,0.117143,0.809242,0.897952,0.408922,1.29,7.6,0.2,0.2,3
80,0.100182,0.809188,0.897805,0.395122,1.29,7.79,0.2,0.2,3
80,0.133466,0.80826,0.89731,0.404707,1.51,12.96,0.2,0.2,3

100,0.096931,0.80045,0.89246,0.412485,1.49,13.36,0.2,0.2,3
100,0.111942,0.800739,0.892734,0.440034,1.28,8.41,0.2,0.2,3
100,0.098618,0.801898,0.893737,0.41931,1.65,7.93,0.2,0.2,3
100,0.116162,0.803172,0.894171,0.428342,1.31,8.38,0.2,0.2,3
100,0.106128,0.8003,0.892705,0.42498,1.42,8.27,0.2,0.2,3
100,0.104076,0.801046,0.892971,0.429496,1.42,8.07,0.2,0.2,3
100,0.118118,0.801374,0.893298,0.457547,1.34,9.28,0.2,0.2,3
100,0.111166,0.800445,0.892515,0.438177,1.34,7.31,0.2,0.2,3
100,0.111937,0.799625,0.892316,0.460759,1.34,7.93,0.2,0.2,3
100,0.108549,0.801972,0.893602,0.416901,1.86,12.69,0.2,0.2,3
100,0.108673,0.801918,0.893456,0.426686,1.41,8.1,0.2,0.2,3
100,0.110609,0.800496,0.892425,0.442192,1.37,8.3,0.2,0.2,3
100,0.108141,0.802184,0.893885,0.432206,1.5,8.71,0.2,0.2,3
100,0.101816,0.801593,0.893152,0.408119,1.48,8.39,0.2,0.2,3

120,0.10516,0.794542,0.889024,0.468487,1.57,12.74,0.2,0.2,3
120,0.105804,0.794638,0.889097,0.44987,1.44,8.45,0.2,0.2,3
120,0.099885,0.794324,0.888931,0.451626,1.44,8.47,0.2,0.2,3
120,0.106479,0.793957,0.889006,0.482788,1.45,8.61,0.2,0.2,3
120,0.109745,0.797444,0.890926,0.461612,1.56,8.89,0.2,0.2,3
120,0.102605,0.795376,0.889563,0.444751,1.5,8.81,0.2,0.2,3
120,0.109808,0.795456,0.889649,0.445353,1.56,8.83,0.2,0.2,3
120,0.103631,0.796141,0.890088,0.435167,1.47,8.7,0.2,0.2,3
120,0.104108,0.793585,0.888481,0.465124,1.58,12.38,0.2,0.2,3
120,0.108696,0.794453,0.889102,0.455088,1.57,8.91,0.2,0.2,3
120,0.104144,0.794835,0.889366,0.451124,1.53,9.12,0.2,0.2,3
120,0.097151,0.795111,0.889522,0.459354,1.66,8.99,0.2,0.2,3

120,0.09603,0.796157,0.890224,0.448414,1.55,8.56,0.2,0.2,3
140,0.103337,0.788792,0.885755,0.465325,1.55,8.97,0.2,0.2,3
140,0.103641,0.789835,0.886252,0.470042,1.61,8.68,0.2,0.2,3
140,0.096437,0.7885,0.885448,0.470544,1.59,9.31,0.2,0.2,3
140,0.092871,0.788532,0.885358,0.466128,1.61,9.27,0.2,0.2,3
140,0.101573,0.787435,0.884785,0.478573,1.59,8.8,0.2,0.2,3
140,0.088672,0.787902,0.884858,0.474006,1.97,8.9,0.2,0.2,3
140,0.101095,0.786036,0.884033,0.495935,1.66,9.04,0.2,0.2,3
140,0.101249,0.787675,0.884913,0.481734,1.74,9.24,0.2,0.2,3
140,0.097257,0.789092,0.885796,0.460859,1.72,9.34,0.2,0.2,3
140,0.096957,0.790255,0.886459,0.465626,1.72,8.86,0.2,0.2,3

160,0.086519,0.784299,0.882951,0.469239,1.72,9.1,0.2,0.2,3
160,0.089791,0.78215,0.881657,0.488308,1.74,9.2,0.2,0.2,3
160,0.093163,0.782458,0.88164,0.489914,2.02,9.51,0.2,0.2,3
160,0.095101,0.781981,0.881419,0.48881,1.88,9.62,0.2,0.2,3
160,0.093335,0.781334,0.880815,0.487806,1.82,9.7,0.2,0.2,3
160,0.088152,0.782543,0.88184,0.503312,1.98,9.95,0.2,0.2,3
160,0.091245,0.783679,0.8822,0.469942,1.95,9.2,0.2,0.2,3

180,0.089979,0.77777,0.878701,0.500803,2.02,10.02,0.2,0.2,3
180,0.081577,0.779746,0.880093,0.497541,2.04,9.66,0.2,0.2,3
180,0.09121,0.776142,0.877835,0.507828,2.17,9.7,0.2,0.2,3
180,0.089023,0.779112,0.879705,0.48605,2.21,9.79,0.2,0.2,3
180,0.08618,0.776494,0.878108,0.506825,2.21,9.74,0.2,0.2,3

200,0.081466,0.771771,0.87494,0.498645,2.37,10.14,0.2,0.2,3
200,0.081308,0.77395,0.876759,0.49443,2.81,11.41,0.2,0.2,3
