Random
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
200,0.081378,0.772393,0.875326,0.496839,2.23,1.27,0.2,0.2,3
200,0.077752,0.772933,0.875584,0.489713,2.29,1.33,0.2,0.2,3
200,0.088369,0.772475,0.875447,0.519922,2.36,1.35,0.2,0.2,3
200,0.078014,0.772205,0.875046,0.503111,2.28,1.3,0.2,0.2,3
200,0.079547,0.771316,0.874593,0.511592,2.27,1.33,0.2,0.2,3
200,0.083464,0.772398,0.875077,0.503312,2.31,1.35,0.2,0.2,3
200,0.090277,0.772036,0.875151,0.517061,2.3,1.32,0.2,0.2,3
200,0.081807,0.771578,0.875056,0.502409,2.28,1.31,0.2,0.2,3
200,0.085234,0.772637,0.875339,0.497993,2.36,1.34,0.2,0.2,3
200,0.080856,0.772611,0.875274,0.483942,2.31,1.32,0.2,0.2,3
200,0.081843,0.772886,0.875794,0.504918,2.37,1.37,0.2,0.2,3
200,0.081873,0.771162,0.874626,0.492975,2.25,1.28,0.2,0.2,3
200,0.086034,0.771139,0.874583,0.512244,2.34,1.36,0.2,0.2,3
200,0.076255,0.772932,0.875827,0.493928,2.39,1.36,0.2,0.2,3
200,0.076948,0.772196,0.875215,0.490064,2.31,1.31,0.2,0.2,3
200,0.08051,0.771699,0.875035,0.507979,2.33,1.34,0.2,0.2,3
200,0.076247,0.771006,0.87474,0.485699,2.41,1.37,0.2,0.2,3
200,0.08821,0.771185,0.874666,0.514853,2.5,1.4,0.2,0.2,3
200,0.084047,0.773778,0.876153,0.487304,2.36,1.36,0.2,0.2,3
200,0.079423,0.770496,0.873967,0.482086,2.43,1.38,0.2,0.2,3
200,0.080161,0.769999,0.873739,0.487104,2.4,1.39,0.2,0.2,3
200,0.076523,0.772571,0.875497,0.489261,2.34,1.35,0.2,0.2,3
200,0.082023,0.771837,0.874738,0.489613,2.39,1.35,0.2,0.2,3
200,0.083893,0.772021,0.874911,0.497391,2.37,1.37,0.2,0.2,3

300,0.069282,0.750924,0.861769,0.555951,2.95,1.77,0.2,0.2,3
300,0.069014,0.75048,0.861161,0.541048,2.87,1.73,0.2,0.2,3
300,0.068679,0.75031,0.861198,0.552489,2.89,1.74,0.2,0.2,3
300,0.061853,0.750882,0.861491,0.522029,3.18,1.86,0.2,0.2,3
300,0.072358,0.749423,0.860918,0.562023,2.92,1.77,0.2,0.2,3
300,0.06475,0.752425,0.862842,0.52499,2.97,1.76,0.2,0.2,3
300,0.067568,0.752274,0.862367,0.53066,2.97,1.78,0.2,0.2,3
300,0.070615,0.750762,0.861531,0.549679,3.01,1.82,0.2,0.2,3
300,0.064686,0.750847,0.861675,0.544761,2.9,1.79,0.2,0.2,3
300,0.064969,0.75353,0.86353,0.53332,3.17,1.91,0.2,0.2,3
300,0.065001,0.752453,0.862638,0.523183,3.14,1.89,0.2,0.2,3
300,0.06825,0.750594,0.861335,0.542704,3.04,1.84,0.2,0.2,3
300,0.064875,0.750013,0.860976,0.541449,3.07,1.87,0.2,0.2,3
