K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.301109,0.534700,93.36,91.41,1000,10,1,0.30,0.30,3,124.07,121.72,14.80,14.45,272.06,266.23
2000,0.282408,0.516593,143.93,139.96,2000,10,1,0.30,0.30,3,186.33,181.72,26.32,25.02,449.50,431.91
3000,0.271505,0.506503,223.86,219.19,3000,10,1,0.30,0.30,3,270.25,265.43,40.63,38.94,676.57,654.82
4000,0.265420,0.500142,248.85,242.85,4000,10,1,0.30,0.30,3,339.88,334.40,53.67,51.52,876.58,849.55
5000,0.259039,0.493970,352.46,344.64,5000,10,1,0.30,0.30,3,429.56,422.25,71.32,68.36,1142.77,1105.89
6000,0.256078,0.490414,425.70,417.50,6000,10,1,0.30,0.30,3,516.72,508.19,87.56,84.04,1392.35,1348.56
7000,0.251836,0.486379,465.27,455.30,7000,10,1,0.30,0.30,3,628.20,618.16,104.27,100.19,1670.92,1620.04
8000,0.248542,0.483151,567.22,555.85,8000,10,1,0.30,0.30,3,708.34,697.33,120.28,115.88,1911.19,1856.10
9000,0.245178,0.479856,779.92,766.16,9000,10,1,0.30,0.30,3,851.04,837.68,137.63,132.55,2227.37,2163.13
9998,0.243167,0.477577,880.66,864.95,10000,10,1,0.30,0.30,3,1079.87,1065.38,154.21,148.74,2621.97,2552.81
