K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
960,0.336185,0.565449,61.42,65.60,1000,10,9,0.60,0.60,0,0.00,0.00,6.78,7.26,67.79,72.62
805,0.371351,0.595661,49.31,52.45,1000,10,8,0.60,0.70,0,0.00,0.01,6.03,6.46,60.33,64.62
528,0.419691,0.634895,50.81,54.74,1000,10,10,0.60,0.80,0,0.00,0.00,5.08,5.47,50.81,54.74
282,0.487471,0.685802,41.19,44.70,1000,10,10,0.60,0.90,0,0.00,0.00,4.12,4.47,41.19,44.70
841,0.364767,0.590059,60.84,65.32,1000,10,10,0.70,0.10,0,0.00,0.00,6.08,6.53,60.84,65.32
841,0.364767,0.590059,61.49,66.10,1000,10,10,0.70,0.20,0,0.00,0.01,6.15,6.61,61.49,66.10
841,0.364767,0.590059,61.92,66.53,1000,10,10,0.70,0.30,0,0.00,0.01,6.19,6.65,61.92,66.53
841,0.364803,0.590086,61.17,65.70,1000,10,10,0.70,0.40,0,0.00,0.00,6.12,6.57,61.17,65.70
841,0.365298,0.590471,60.80,65.17,1000,10,10,0.70,0.50,0,0.00,0.00,6.08,6.52,60.80,65.17
839,0.365093,0.590272,61.62,66.03,1000,10,10,0.70,0.60,0,0.00,0.00,6.16,6.60,61.62,66.03
799,0.372337,0.596439,49.31,52.62,1000,10,8,0.70,0.70,0,0.00,0.00,6.02,6.47,60.20,64.66
506,0.425516,0.639357,50.02,53.92,1000,10,10,0.70,0.80,0,0.00,0.01,5.00,5.39,50.02,53.92
263,0.497502,0.693335,36.19,38.98,1000,10,9,0.70,0.90,0,0.00,0.00,3.90,4.22,38.97,42.24
556,0.416250,0.632106,40.29,42.75,1000,10,7,0.80,0.10,0,0.00,0.00,5.43,5.84,54.28,58.36
556,0.416250,0.632106,38.91,41.29,1000,10,7,0.80,0.20,0,0.00,0.01,5.19,5.60,51.94,55.96
556,0.416250,0.632106,38.65,41.10,1000,10,7,0.80,0.30,0,0.00,0.00,5.17,5.57,51.66,55.72
556,0.416246,0.632103,38.80,41.09,1000,10,7,0.80,0.40,0,0.00,0.00,5.18,5.57,51.85,55.73
556,0.416246,0.632103,39.25,41.73,1000,10,7,0.80,0.50,0,0.00,0.00,5.26,5.67,52.60,56.73
556,0.416176,0.632064,51.59,55.65,1000,10,10,0.80,0.60,0,0.00,0.01,5.16,5.56,51.59,55.65
553,0.416685,0.632474,47.25,50.70,1000,10,9,0.80,0.70,0,0.00,0.00,5.16,5.56,51.59,55.58
495,0.426918,0.640462,49.50,53.47,1000,10,10,0.80,0.80,0,0.00,0.00,4.95,5.35,49.50,53.47
246,0.503005,0.697078,35.71,38.55,1000,10,9,0.80,0.90,0,0.00,0.00,3.85,4.18,38.49,41.82
300,0.482995,0.682759,36.51,39.10,1000,10,8,0.90,0.10,0,0.00,0.00,4.33,4.69,43.30,46.89
300,0.482995,0.682759,36.39,38.91,1000,10,8,0.90,0.20,0,0.00,0.00,4.31,4.66,43.07,46.57
300,0.482995,0.682759,36.39,38.82,1000,10,8,0.90,0.30,0,0.00,0.00,4.31,4.65,43.11,46.55
300,0.482995,0.682759,36.30,38.81,1000,10,8,0.90,0.40,0,0.00,0.00,4.30,4.65,43.00,46.51
300,0.482995,0.682759,37.49,39.97,1000,10,8,0.90,0.50,0,0.00,0.00,4.45,4.80,44.49,47.98
300,0.482997,0.682760,36.35,38.73,1000,10,8,0.90,0.60,0,0.00,0.00,4.30,4.64,42.98,46.36
299,0.483111,0.682828,36.01,38.37,1000,10,8,0.90,0.70,0,0.00,0.00,4.26,4.59,42.58,45.92
297,0.483035,0.682790,36.24,38.70,1000,10,8,0.90,0.80,0,0.00,0.01,4.28,4.62,42.78,46.25
246,0.503235,0.697249,35.59,38.52,1000,10,9,0.90,0.90,0,0.00,0.01,3.83,4.18,38.35,41.79
