#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
4108,41.34,0.461383,0.727915,4119,0.548599,0.323925,8,4,-1.00,40,12,4,1,50,0.9,0.8,0.3,0.3,142937,10670,4370,1.53,11.03,28.78,2.05
3014,32.56,0.471291,0.746088,3022,0.546993,0.320511,8,4,-1.00,40,12,4,1,80,0.9,0.8,0.3,0.3,142937,7335,3208,1.50,11.04,20.02,2.22
3095,32.24,0.471429,0.745807,3107,0.546061,0.319162,8,4,-1.00,40,12,6,1,30,0.9,0.8,0.3,0.3,142937,6879,3237,1.50,10.62,20.12,2.47
2535,28.22,0.477029,0.756259,2545,0.552275,0.326237,8,4,-1.00,40,12,6,1,50,0.9,0.8,0.3,0.3,142937,5468,2650,1.51,10.77,15.94,2.27
2015,24.68,0.489346,0.773962,2020,0.559047,0.333839,8,4,-1.00,40,12,6,1,80,0.9,0.8,0.3,0.3,142937,3950,2100,1.53,10.73,12.42,2.50
3558,30.75,0.460198,0.746679,3566,0.552668,0.328736,8,4,-1.00,50,8,4,1,30,0.9,0.8,0.3,0.3,113906,7780,3746,1.50,5.29,23.96,2.01
3021,28.75,0.459068,0.757019,3027,0.550070,0.324759,8,4,-1.00,50,8,4,1,50,0.9,0.8,0.3,0.3,113906,6806,3180,1.53,7.43,19.79,2.02
2101,22.25,0.466578,0.773713,2107,0.561314,0.337546,8,4,-1.00,50,8,4,1,80,0.9,0.8,0.3,0.3,113906,4591,2224,1.50,7.36,13.39,2.37
1847,19.38,0.469420,0.780781,1849,0.565742,0.342200,8,4,-1.00,50,8,6,1,30,0.9,0.8,0.3,0.3,113906,3691,1922,1.52,6.04,11.82,2.16
1686,17.50,0.470379,0.791298,1687,0.555487,0.328728,8,4,-1.00,50,8,6,1,50,0.9,0.8,0.3,0.3,113906,3417,1751,1.51,5.98,10.01,2.55
1245,15.41,0.479872,0.812004,1246,0.557798,0.330539,8,4,-1.00,50,8,6,1,80,0.9,0.8,0.3,0.3,113906,2378,1296,1.52,6.06,7.83,2.11
4002,36.33,0.459464,0.736873,4012,0.550064,0.325910,8,4,-1.00,50,10,4,1,30,0.9,0.8,0.3,0.3,113906,9810,4220,1.52,7.67,27.14,2.31
