K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.324283,0.555457,295.03,286.10,1000,10,1,0.30,0.30,2,260.94,252.89,31.07,30.21,571.62,554.96
2000,0.304914,0.537965,609.73,591.07,2000,10,1,0.30,0.30,2,549.20,532.31,54.32,52.53,1092.42,1057.64
3000,0.294055,0.527714,966.46,937.69,3000,10,1,0.30,0.30,2,872.73,846.73,83.74,81.00,1710.16,1656.72
4000,0.286387,0.520498,1360.57,1321.26,4000,10,1,0.30,0.30,2,1236.61,1200.98,109.98,106.35,2336.36,2264.44
5000,0.281261,0.515709,1989.79,1938.98,5000,10,1,0.30,0.30,2,1827.84,1781.78,143.94,139.31,3267.25,3174.92
6000,0.276047,0.510647,2677.27,2614.94,6000,10,1,0.30,0.30,2,2477.01,2420.35,176.02,170.44,4237.23,4124.78
7000,0.272415,0.507236,3392.55,3319.20,7000,10,1,0.30,0.30,2,3159.29,3092.63,208.19,201.50,5241.19,5107.66
8000,0.269185,0.504179,4142.06,4056.54,8000,10,1,0.30,0.30,2,3875.56,3798.14,237.32,229.49,6248.77,6093.08
9000,0.266161,0.501207,4903.39,4807.31,9000,10,1,0.30,0.30,2,4592.35,4505.02,276.88,268.10,7361.17,7186.03
10000,0.263738,0.498753,5565.04,5458.49,10000,10,1,0.30,0.30,2,5227.29,5130.36,301.53,291.82,8242.58,8048.59
