K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
10,0.503317,0.703305,9.79,9.35,10,10,2,0.40,0.40,2,5.07,3.60,2.33,2.77,28.32,31.30
996,0.200458,0.430969,125.33,124.40,1000,10,8,0.40,0.40,2,62.65,59.69,7.82,8.06,140.82,140.25
1986,0.173445,0.399935,269.86,255.67,2000,10,10,0.40,0.40,2,132.84,125.46,13.70,13.02,269.87,255.67
2975,0.160178,0.383375,395.11,374.91,3000,10,9,0.40,0.40,2,207.59,202.28,20.80,19.12,415.61,393.52
3962,0.150998,0.371968,544.30,521.21,4000,10,10,0.40,0.40,2,277.26,276.80,26.70,24.44,544.30,521.21
4942,0.144780,0.363833,692.43,673.22,5000,10,10,0.40,0.40,2,349.48,357.46,34.30,31.58,692.44,673.22
5943,0.139313,0.356188,840.73,823.76,6000,10,10,0.40,0.40,2,424.34,439.95,41.64,38.38,840.73,823.76
6937,0.135077,0.350691,1002.01,990.37,7000,10,10,0.40,0.40,2,506.51,534.87,49.55,45.55,1002.02,990.37
7922,0.131570,0.345865,1165.94,1161.27,8000,10,10,0.40,0.40,2,590.80,630.65,57.51,53.06,1165.94,1161.27
8915,0.128580,0.341567,1250.84,1264.09,9000,10,9,0.40,0.40,2,663.98,720.61,65.11,60.20,1315.06,1322.65
9901,0.125772,0.337616,1476.89,1490.10,10000,10,10,0.40,0.40,2,741.91,815.82,73.50,67.43,1476.89,1490.10

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.204591,0.432890,93.45,93.68,1000,10,7,0.40,0.40,3,39.16,38.09,7.78,7.97,116.92,117.80
2000,0.179184,0.406016,207.30,197.57,2000,10,9,0.40,0.40,3,83.84,84.39,13.71,12.52,220.95,209.59
3000,0.163631,0.386929,317.52,308.11,3000,10,8,0.40,0.40,3,149.57,152.87,21.00,19.37,359.52,346.53
4000,0.155556,0.376468,420.43,404.69,4000,10,9,0.40,0.40,3,185.26,190.77,26.12,23.76,446.41,428.36
5000,0.149011,0.367468,490.49,479.88,5000,10,8,0.40,0.40,3,213.98,224.18,34.57,31.94,559.67,543.56
6000,0.143193,0.359602,592.13,581.11,6000,10,8,0.40,0.40,3,255.44,271.59,42.08,38.69,676.29,658.44
7000,0.138339,0.353133,724.98,717.36,7000,10,8,0.40,0.40,3,322.76,345.37,50.27,46.43,825.51,809.70
7998,0.135024,0.348556,946.67,931.52,8000,10,10,0.40,0.40,3,363.03,391.36,58.36,54.02,946.67,931.52
9000,0.131720,0.344506,1074.75,1065.10,9000,10,10,0.40,0.40,3,410.10,453.87,66.47,61.12,1074.75,1065.10
9998,0.129546,0.340956,1217.50,1205.15,10000,10,10,0.40,0.40,3,469.46,520.69,74.80,68.45,1217.50,1205.16
