#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
191,0.54,0.853396,0.978203,192,0.895274,0.809736,12,2,-1.00,3,12,2,1,5,0.9,0.8,0.2,0.2,7260,823,197,0.49,0.02,0.03,0.02
510,0.64,0.792574,0.945721,514,0.857035,0.751826,12,2,-1.00,3,12,4,1,2,0.9,0.8,0.2,0.2,7260,3265,520,0.50,0.00,0.14,0.03
380,0.58,0.808265,0.955652,381,0.869891,0.771152,12,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,7260,2883,386,0.49,0.01,0.08,0.03
169,0.53,0.862845,0.982463,169,0.897525,0.813086,12,2,-1.00,3,12,4,1,4,0.9,0.8,0.2,0.2,7260,1026,172,0.49,0.00,0.04,0.03
100,0.52,0.880169,0.990042,100,0.909695,0.833120,12,2,-1.00,3,12,4,1,5,0.9,0.8,0.2,0.2,7260,596,101,0.49,0.01,0.02,0.03
1003,0.78,0.732573,0.899597,1019,0.819407,0.697619,12,2,-1.00,3,16,2,1,2,0.9,0.8,0.2,0.2,7260,6286,1041,0.48,0.03,0.27,0.03
641,0.64,0.766636,0.930090,647,0.847542,0.738134,12,2,-1.00,3,16,2,1,3,0.9,0.8,0.2,0.2,7260,4605,659,0.47,0.02,0.15,0.03
331,0.55,0.825391,0.963061,333,0.877932,0.782506,12,2,-1.00,3,16,2,1,4,0.9,0.8,0.2,0.2,7260,1856,341,0.47,0.01,0.07,0.02
210,0.55,0.849800,0.975664,211,0.893283,0.806525,12,2,-1.00,3,16,2,1,5,0.9,0.8,0.2,0.2,7260,1083,216,0.49,0.02,0.04,0.02
558,0.62,0.784832,0.941563,562,0.852419,0.744842,12,2,-1.00,3,16,4,1,2,0.9,0.8,0.2,0.2,7260,4324,569,0.47,0.02,0.13,0.02
405,0.58,0.802761,0.953975,406,0.867448,0.767425,12,2,-1.00,3,16,4,1,3,0.9,0.8,0.2,0.2,7260,3803,412,0.49,0.00,0.09,0.02
183,0.52,0.857283,0.980629,183,0.894737,0.808800,12,2,-1.00,3,16,4,1,4,0.9,0.8,0.2,0.2,7260,1351,186,0.47,0.01,0.04,0.02
107,0.52,0.876570,0.989549,107,0.907563,0.829689,12,2,-1.00,3,16,4,1,5,0.9,0.8,0.2,0.2,7260,777,108,0.49,0.01,0.02,0.03
553,0.64,0.793929,0.945751,556,0.854778,0.747614,12,2,-1.00,4,8,2,1,2,0.9,0.8,0.2,0.2,4638,1739,567,0.50,0.00,0.14,0.02
412,0.59,0.811467,0.958044,412,0.868250,0.768026,12,2,-1.00,4,8,2,1,3,0.9,0.8,0.2,0.2,4638,1458,421,0.50,0.00,0.09,0.02
285,0.56,0.838817,0.969622,285,0.882000,0.788555,12,2,-1.00,4,8,2,1,4,0.9,0.8,0.2,0.2,4638,1067,293,0.49,0.01,0.06,0.02
173,0.50,0.865031,0.981105,173,0.897640,0.813171,12,2,-1.00,4,8,2,1,5,0.9,0.8,0.2,0.2,4638,610,177,0.47,0.00,0.03,0.03
221,0.52,0.849658,0.977561,221,0.888495,0.799179,12,2,-1.00,4,8,4,1,2,0.9,0.8,0.2,0.2,4638,882,225,0.48,0.00,0.04,0.03
195,0.52,0.854585,0.980076,195,0.892455,0.805257,12,2,-1.00,4,8,4,1,3,0.9,0.8,0.2,0.2,4638,846,199,0.47,0.00,0.05,0.02
149,0.51,0.869780,0.985084,149,0.900867,0.818539,12,2,-1.00,4,8,4,1,4,0.9,0.8,0.2,0.2,4638,725,153,0.47,0.01,0.03,0.03
84,0.50,0.888269,0.991892,84,0.913505,0.839246,12,2,-1.00,4,8,4,1,5,0.9,0.8,0.2,0.2,4638,405,85,0.47,0.01,0.02,0.02
638,0.66,0.779252,0.938373,644,0.848094,0.737901,12,2,-1.00,4,12,2,1,2,0.9,0.8,0.2,0.2,4638,2583,658,0.49,0.01,0.16,0.03
466,0.60,0.799153,0.952725,469,0.863299,0.760805,12,2,-1.00,4,12,2,1,3,0.9,0.8,0.2,0.2,4638,2150,480,0.50,0.01,0.09,0.03
