k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,C_time,embedding time,total time
20,0.047495,0.9291,0.9634,0.226064,-0.016212,0.198743,0.201201,0.258112,0.22613,0.194451,4.27,4.464451094
40,0.047665,0.9254,0.9612,0.233892,-0.016974,0.210608,0.22299,0.215461,0.219161,0.254398,4.27,4.524398108
60,0.069855,0.9148,0.9554,0.313729,-0.073064,0.226992,0.288584,0.233097,0.25789,0.315881,4.27,4.585881014
80,0.066057,0.9091,0.9522,0.329888,-0.059389,0.222311,0.303265,0.230067,0.261643,0.358076,4.27,4.628076096
100,0.057896,0.9046,0.9496,0.320905,-0.106897,0.205233,0.298336,0.214533,0.249588,0.387594,4.27,4.657593985
120,0.0521,0.9023,0.9482,0.337164,-0.09184,0.208987,0.319358,0.219505,0.26018,0.427903,4.27,4.697902937
140,0.052935,0.8974,0.9452,0.351666,-0.092747,0.215688,0.335421,0.227792,0.271323,0.456581,4.27,4.726581116
160,0.054318,0.8949,0.9436,0.359745,-0.093735,0.212035,0.351898,0.225336,0.274742,0.498923,4.27,4.768923063
180,0.051901,0.8947,0.9436,0.344691,-0.090862,0.196585,0.333016,0.211219,0.258489,0.519493,4.27,4.789493103
200,0.048154,0.8904,0.9413,0.360397,-0.080008,0.204259,0.350833,0.220224,0.270592,0.539031,4.27,4.809031029
