k,ARI,MSE,MAE,purity,total time,embedding time,c time
22,0.006,0.960105,0.979427,0.076,74.952,0.12,74.832
52,0.006,0.958558,0.978236,0.08,64.385,0.12,64.265
60,0.005,0.958069,0.977875,0.081,62.37,0.12,62.25
130,0.006,0.954722,0.975362,0.09,63.559,0.12,63.439
141,0.005,0.954239,0.974946,0.091,74.109,0.12,73.989
