k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,time,embedding time,total time
20,0.0059,0.9595,0.9793,0.0845,-0.0175,0.016,0.019,0.0204,0.0197,0.1573,0.1,0.257
40,0.0039,0.9592,0.9792,0.0903,-0.0356,0.0158,0.0245,0.0212,0.0227,0.227,0.1,0.327
60,0.0045,0.9572,0.9781,0.1,-0.052,0.0185,0.0332,0.0259,0.0291,0.277,0.1,0.377
80,0.0044,0.955,0.977,0.1044,-0.0579,0.0189,0.0386,0.0282,0.0326,0.3181,0.1,0.418
100,0.0032,0.9546,0.9768,0.1028,-0.0651,0.0172,0.041,0.0285,0.0336,0.3915,0.1,0.492
120,0.0031,0.9534,0.9762,0.1099,-0.0746,0.019,0.0482,0.032,0.0384,0.3988,0.1,0.499
140,0.0028,0.9534,0.976,0.1105,-0.0628,0.0184,0.0517,0.0331,0.0404,0.4325,0.1,0.533
160,0.0027,0.9529,0.9758,0.1156,-0.1129,0.0186,0.0558,0.0352,0.0432,0.4559,0.1,0.556
180,0.0025,0.9501,0.9743,0.1206,-0.0892,0.0186,0.0602,0.0369,0.0457,0.481,0.1,0.581
200,0.0023,0.9504,0.9743,0.1203,-0.0872,0.0188,0.0648,0.0388,0.0485,0.5069,0.1,0.607
