k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,C_time,embedding time,total time
20,0.061084,0.9345,0.9662,0.190887,0.100178,0.192891,0.195367,0.216771,0.205513,0.160091,0.8,0.960090923
40,0.075136,0.9314,0.9647,0.261943,0.092682,0.236741,0.279969,0.240876,0.258955,0.23464,0.8,1.034640121
60,0.067579,0.928,0.9629,0.287786,0.035974,0.226122,0.307865,0.231688,0.264399,0.297118,0.8,1.097117949
80,0.062237,0.9263,0.962,0.303442,0.046734,0.224587,0.328713,0.231629,0.271761,0.336994,0.8,1.136993933
100,0.054881,0.9254,0.9615,0.318597,0.042697,0.222488,0.345267,0.230933,0.276756,0.519788,0.8,1.319788027
120,0.048315,0.9217,0.9594,0.3332,0.009639,0.219651,0.356737,0.229517,0.279323,0.50187,0.8,1.301870155
140,0.045584,0.9208,0.9589,0.330189,0.040094,0.218007,0.363995,0.229493,0.281503,0.535651,0.8,1.335650969
160,0.039479,0.9189,0.9578,0.341078,-0.000562,0.215144,0.374551,0.227891,0.283369,0.496947,0.8,1.29694705
180,0.036339,0.9177,0.9571,0.343085,-0.002337,0.210591,0.378012,0.224788,0.281926,0.506474,0.8,1.306474018
200,0.033004,0.9168,0.9566,0.342834,-0.009966,0.207302,0.383081,0.222924,0.281839,0.533942,0.8,1.333941984
