k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,time,embedding time,total time
20,0.0119,0.9524,0.9756,0.0979,-0.0345,0.0288,0.0317,0.0568,0.0407,0.1589,0.11,0.269
40,0.0066,0.954,0.9762,0.1049,-0.0747,0.0336,0.0393,0.0505,0.0442,0.2056,0.11,0.316
60,0.0125,0.9457,0.972,0.1202,-0.1067,0.0426,0.0543,0.0508,0.0525,0.2619,0.11,0.372
80,0.0097,0.9495,0.9735,0.1213,-0.1096,0.0383,0.0564,0.0479,0.0518,0.3007,0.11,0.411
100,0.0092,0.9448,0.971,0.122,-0.1139,0.0394,0.0615,0.0507,0.0555,0.326,0.11,0.436
120,0.0105,0.9453,0.9708,0.1386,-0.119,0.0461,0.0734,0.0594,0.0657,0.3429,0.11,0.453
139,0.0096,0.9458,0.9709,0.1365,-0.1196,0.0462,0.0777,0.062,0.069,0.3587,0.11,0.469
160,0.0103,0.9402,0.9676,0.1384,-0.1348,0.0453,0.0797,0.0637,0.0708,0.3799,0.11,0.49
180,0.0103,0.9445,0.9693,0.1411,-0.09,0.0482,0.0837,0.0692,0.0757,0.3963,0.11,0.506
200,0.0101,0.9359,0.9641,0.1408,-0.108,0.0535,0.0864,0.0777,0.0818,0.4109,0.11,0.521
