k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,C_time,embedding time,total time
20,0.048364,0.9345,0.9663,0.188177,0.077369,0.17109,0.173618,0.19668,0.184431,0.166282,1.06,1.226281939
40,0.062827,0.9231,0.9601,0.244982,0.031251,0.204524,0.237895,0.208951,0.222486,0.232999,1.06,1.292998848
60,0.061641,0.9214,0.9592,0.284073,0.05248,0.211023,0.279191,0.21691,0.244141,0.303985,1.06,1.363985119
80,0.053638,0.9182,0.9576,0.28894,0.028274,0.196593,0.28555,0.204009,0.237989,0.361323,1.06,1.42132288
100,0.049976,0.9168,0.9566,0.31122,0.018133,0.208215,0.315272,0.217137,0.25716,0.383639,1.06,1.443638859
120,0.046101,0.9131,0.9547,0.320002,0.010726,0.204155,0.324648,0.214606,0.258399,0.419377,1.06,1.47937685
140,0.042525,0.9113,0.9536,0.32773,-0.019889,0.205574,0.338691,0.21751,0.2649,0.460479,1.06,1.520479021
160,0.039165,0.9118,0.9538,0.3333,-0.002654,0.2019,0.34529,0.215286,0.265213,0.494259,1.06,1.554259119
180,0.038593,0.9101,0.9527,0.341228,-0.007,0.201441,0.353787,0.216357,0.268508,0.515545,1.06,1.575544891
200,0.035896,0.9106,0.9531,0.346798,0.017159,0.200776,0.362568,0.217141,0.271613,0.542448,1.06,1.602448044
