k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,time,embedding time,total time
20,0.01,0.9566,0.9774,0.0866,0.0627,0.0278,0.03,0.1011,0.0462,0.1672,0.12,0.287
40,0.0115,0.9559,0.9765,0.0956,0.0277,0.0317,0.036,0.0822,0.0501,0.2128,0.12,0.333
60,0.0198,0.946,0.9711,0.1258,-0.035,0.0562,0.0619,0.0982,0.0759,0.2491,0.12,0.369
80,0.0201,0.932,0.9633,0.1301,-0.0531,0.0586,0.0677,0.0881,0.0766,0.2812,0.12,0.401
100,0.0166,0.9298,0.9616,0.1258,-0.0841,0.0581,0.0697,0.0965,0.081,0.3016,0.12,0.422
120,0.017,0.931,0.9611,0.1351,-0.0593,0.0652,0.0786,0.1158,0.0936,0.3227,0.12,0.443
140,0.017,0.922,0.9555,0.1324,-0.0304,0.065,0.0799,0.1142,0.094,0.3529,0.12,0.473
160,0.018,0.9191,0.9536,0.1385,-0.0563,0.0672,0.084,0.1115,0.0958,0.3773,0.12,0.497
180,0.0181,0.917,0.9518,0.1398,-0.09,0.0658,0.0848,0.1124,0.0966,0.3968,0.12,0.517
200,0.0174,0.9197,0.9526,0.1366,-0.1228,0.0642,0.0837,0.1094,0.0948,0.4186,0.12,0.539
