k,ARI,MSE,MAE,purity,total time,embedding time,c time
20,0.012,0.960549,0.979757,0.08,1.906,0.8,1.106
30,0.012,0.959846,0.979179,0.081,1.992,0.8,1.192
44,0.012,0.959253,0.978806,0.085,4.001,0.8,3.201
72,0.011,0.957452,0.977499,0.089,3.676,0.8,2.876
128,0.011,0.954869,0.975235,0.092,4.891,0.8,4.091
160,0.012,0.953411,0.974006,0.095,4.189,0.8,3.389
180,0.012,0.952077,0.973156,0.099,3.483,0.8,2.683
