k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,time,embedding time,total time
20,0.0097,0.9574,0.9782,0.0977,-0.0519,0.0265,0.0295,0.0352,0.0321,0.1816,0.1,0.282
40,0.0086,0.954,0.9765,0.1039,-0.1085,0.0322,0.0403,0.0381,0.0392,0.235,0.1,0.335
60,0.008,0.9546,0.9766,0.113,-0.069,0.0316,0.0465,0.0396,0.0428,0.2873,0.1,0.387
80,0.0092,0.9516,0.9751,0.1186,-0.0984,0.0315,0.0533,0.0414,0.0466,0.3294,0.1,0.429
100,0.0071,0.9483,0.9734,0.1228,-0.1187,0.0305,0.0579,0.0423,0.0489,0.3692,0.1,0.469
120,0.007,0.9484,0.9732,0.1289,-0.108,0.033,0.0666,0.0469,0.055,0.3957,0.1,0.496
140,0.0064,0.9492,0.9738,0.1345,-0.1279,0.0328,0.0715,0.0483,0.0576,0.4331,0.1,0.533
160,0.0066,0.9485,0.9733,0.1323,-0.1555,0.0319,0.0745,0.0491,0.0592,0.4515,0.1,0.552
180,0.0059,0.9468,0.9721,0.1346,-0.1458,0.0327,0.0794,0.0512,0.0623,0.475,0.1,0.575
200,0.0051,0.9432,0.9701,0.1364,-0.1529,0.0307,0.0806,0.0509,0.0624,0.4964,0.1,0.596
