#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=50
873,1.98,0.5497,0.9256,878,0.7315,0.5816,16,4,-1.00,8,12,4,1,50,0.9,0.8,0.2,0.2,71613,7571,1005,0.71,0.15,1.12,0.70

k=150
1115,4.09,0.5318,0.9099,1127,0.7210,0.5678,28,4,-1.00,8,16,6,1,50,0.9,0.8,0.2,0.2,126859,16447,1305,0.85,0.30,2.94,0.66
1117,3.89,0.5231,0.9062,1132,0.7225,0.5705,28,4,-1.00,10,8,4,1,50,0.9,0.8,0.2,0.2,97244,7923,1317,0.85,0.17,2.87,0.68
1123,3.98,0.5379,0.9204,1130,0.7222,0.5696,12,4,-1.00,10,12,6,1,30,0.9,0.8,0.2,0.2,41978,11022,1255,0.68,0.09,3.21,0.71
1127,3.88,0.5270,0.9030,1136,0.7225,0.5706,24,4,-1.00,8,12,4,1,50,0.9,0.8,0.2,0.2,107892,10519,1331,0.79,0.23,2.86,0.68
1128,3.94,0.5223,0.9062,1143,0.7217,0.5696,28,4,-1.00,8,8,4,1,50,0.9,0.8,0.2,0.2,126859,7934,1327,0.85,0.19,2.90,0.68
1142,3.66,0.5362,0.9198,1149,0.7207,0.5679,12,4,-1.00,8,12,6,1,30,0.9,0.8,0.2,0.2,54760,11041,1274,0.69,0.11,2.86,0.69
1157,4.04,0.5190,0.8985,1167,0.7213,0.5690,24,4,-1.00,8,14,4,1,50,0.9,0.8,0.2,0.2,107892,12330,1364,0.79,0.30,2.95,0.67
1167,2.71,0.5337,0.9166,1173,0.7194,0.5662,12,4,-1.00,8,14,6,1,30,0.9,0.8,0.2,0.2,54760,12878,1299,0.67,0.12,1.92,0.71
1180,4.08,0.5199,0.8988,1197,0.7206,0.5681,28,4,-1.00,10,10,4,1,50,0.9,0.8,0.2,0.2,97244,9874,1392,0.85,0.20,3.03,0.68
1193,4.18,0.5160,0.8982,1210,0.7192,0.5663,28,4,-1.00,8,10,4,1,50,0.9,0.8,0.2,0.2,126859,9890,1405,0.85,0.25,3.08,0.69
1204,4.26,0.5127,0.8954,1215,0.7184,0.5653,24,4,-1.00,8,16,4,1,50,0.9,0.8,0.2,0.2,107892,14077,1426,0.81,0.29,3.16,0.66
1206,3.83,0.5279,0.9147,1212,0.7178,0.5646,12,4,-1.00,8,16,6,1,30,0.9,0.8,0.2,0.2,54760,14708,1351,0.68,0.13,3.02,0.68
1244,4.36,0.5186,0.8978,1261,0.7198,0.5672,28,4,-1.00,10,12,4,1,50,0.9,0.8,0.2,0.2,97244,11814,1476,0.85,0.24,3.27,0.68
1261,4.45,0.5132,0.8961,1279,0.7180,0.5651,28,4,-1.00,8,12,4,1,50,0.9,0.8,0.2,0.2,126859,11835,1495,0.84,0.27,3.34,0.66
1276,4.50,0.5264,0.9084,1288,0.7190,0.5664,16,4,-1.00,10,8,6,1,30,0.9,0.8,0.2,0.2,54903,9527,1419,0.72,0.09,3.69,0.68
1290,2.54,0.5245,0.9099,1302,0.7171,0.5640,16,4,-1.00,8,8,6,1,30,0.9,0.8,0.2,0.2,71613,9543,1434,0.70,0.09,1.75,0.68
1292,4.61,0.5066,0.8927,1305,0.7160,0.5623,28,4,-1.00,8,14,4,1,50,0.9,0.8,0.2,0.2,126859,13846,1532,0.88,0.32,3.41,0.67
1301,4.40,0.5376,0.9188,1308,0.7187,0.5669,12,4,-1.00,10,10,4,1,30,0.9,0.8,0.2,0.2,41978,9722,1452,0.67,0.09,3.64,0.66
1307,4.09,0.5348,0.9188,1315,0.7176,0.5654,12,4,-1.00,8,10,4,1,30,0.9,0.8,0.2,0.2,54760,9728,1460,0.69,0.09,3.31,0.67
1321,4.68,0.5233,0.9069,1333,0.7165,0.5635,16,4,-1.00,10,10,6,1,30,0.9,0.8,0.2,0.2,54903,11895,1473,0.74,0.09,3.85,0.67
1336,2.49,0.5193,0.9079,1351,0.7140,0.5601,16,4,-1.00,8,10,6,1,30,0.9,0.8,0.2,0.2,71613,11915,1492,0.72,0.11,1.66,0.68

k=200
1464,1.14,0.5094,0.8995,1477,0.7092,0.5544,16,4,-1.00,8,16,6,1,30,0.9,0.8,0.2,0.2,71613,19032,1656,0.73,0.19,0.22,0.70
1552,1.17,0.5086,0.8964,1577,0.7088,0.5539,20,4,-1.00,8,10,6,1,30,0.9,0.8,0.2,0.2,89721,14325,1761,0.77,0.15,0.25,0.69
1583,5.81,0.5085,0.8915,1606,0.7087,0.5541,20,4,-1.00,10,12,6,1,30,0.9,0.8,0.2,0.2,68916,17151,1804,0.77,0.16,4.88,0.66
1609,5.41,0.5047,0.8912,1636,0.7061,0.5505,20,4,-1.00,8,12,6,1,30,0.9,0.8,0.2,0.2,89721,17186,1836,0.78,0.17,4.46,0.67
1652,5.82,0.5138,0.8973,1667,0.7088,0.5552,16,4,-1.00,10,12,4,1,30,0.9,0.8,0.2,0.2,54903,14675,1882,0.72,0.13,4.97,0.65
1663,3.09,0.5112,0.8981,1680,0.7074,0.5534,16,4,-1.00,8,12,4,1,30,0.9,0.8,0.2,0.2,71613,14686,1898,0.66,0.16,2.27,0.66
1663,5.53,0.5004,0.8864,1687,0.7040,0.5481,20,4,-1.00,8,14,6,1,30,0.9,0.8,0.2,0.2,89721,20029,1890,0.76,0.20,4.57,0.67
1689,3.60,0.5046,0.8897,1712,0.7073,0.5525,24,4,-1.00,10,8,6,1,30,0.9,0.8,0.2,0.2,82792,13770,1930,0.80,0.14,2.66,0.70
1697,1.17,0.5023,0.8933,1714,0.7052,0.5506,16,4,-1.00,8,14,4,1,30,0.9,0.8,0.2,0.2,71613,17097,1943,0.72,0.18,0.27,0.69
1707,5.68,0.5002,0.8889,1733,0.7046,0.5489,24,4,-1.00,8,8,6,1,30,0.9,0.8,0.2,0.2,107892,13804,1957,0.81,0.14,4.73,0.64
1714,5.77,0.4963,0.8817,1741,0.7019,0.5455,20,4,-1.00,8,16,6,1,30,0.9,0.8,0.2,0.2,89721,22873,1970,0.76,0.22,4.79,0.67
1730,6.15,0.5060,0.8911,1745,0.7063,0.5522,20,4,-1.00,10,8,4,1,30,0.9,0.8,0.2,0.2,68916,11436,1958,0.79,0.12,5.24,0.65
1746,3.28,0.5019,0.8893,1763,0.7049,0.5503,20,4,-1.00,8,8,4,1,30,0.9,0.8,0.2,0.2,89721,11452,1979,0.74,0.13,2.41,0.65
1750,5.73,0.5006,0.8844,1776,0.7049,0.5496,24,4,-1.00,10,10,6,1,30,0.9,0.8,0.2,0.2,82792,17193,2003,0.81,0.16,4.76,0.65
1768,1.19,0.4979,0.8874,1788,0.7033,0.5484,16,4,-1.00,8,16,4,1,30,0.9,0.8,0.2,0.2,71613,19494,2023,0.74,0.20,0.25,0.68

k=250
1856,6.27,0.4935,0.8784,1887,0.6988,0.5416,24,4,-1.00,8,12,6,1,30,0.9,0.8,0.2,0.2,107892,20717,2139,0.81,0.21,5.25,0.65
1900,6.49,0.4897,0.8744,1935,0.6967,0.5389,24,4,-1.00,8,14,6,1,30,0.9,0.8,0.2,0.2,107892,24150,2195,0.80,0.24,5.45,0.66
1940,1.25,0.4933,0.8781,1957,0.6994,0.5435,20,4,-1.00,8,12,4,1,30,0.9,0.8,0.2,0.2,89721,17222,2228,0.77,0.21,0.27,0.70
1964,6.82,0.4872,0.8716,2001,0.6948,0.5365,24,4,-1.00,8,16,6,1,30,0.9,0.8,0.2,0.2,107892,27602,2284,0.80,0.27,5.75,0.65
1976,6.80,0.4882,0.8715,2007,0.6965,0.5389,28,4,-1.00,8,10,6,1,30,0.9,0.8,0.2,0.2,126859,19428,2297,0.85,0.21,5.74,0.65
1996,6.66,0.4840,0.8733,2014,0.6970,0.5403,20,4,-1.00,8,14,4,1,30,0.9,0.8,0.2,0.2,89721,20070,2298,0.77,0.23,5.66,0.65
2016,7.02,0.4911,0.8712,2050,0.6976,0.5407,28,4,-1.00,10,12,6,1,30,0.9,0.8,0.2,0.2,97244,23268,2359,0.85,0.21,5.96,0.66
2021,6.59,0.4916,0.8787,2036,0.6987,0.5431,24,4,-1.00,8,8,4,1,30,0.9,0.8,0.2,0.2,107892,13624,2305,0.80,0.18,5.61,0.66
2068,7.25,0.4864,0.8688,2106,0.6940,0.5358,28,4,-1.00,8,12,6,1,30,0.9,0.8,0.2,0.2,126859,23336,2419,0.84,0.26,6.15,0.64
2081,6.98,0.4787,0.8677,2101,0.6945,0.5374,20,4,-1.00,8,16,4,1,30,0.9,0.8,0.2,0.2,89721,22900,2396,0.77,0.25,5.96,0.66
2085,6.85,0.4947,0.8752,2105,0.6995,0.5441,24,4,-1.00,10,10,4,1,30,0.9,0.8,0.2,0.2,82792,17007,2401,0.80,0.17,5.88,0.64
2126,7.05,0.4862,0.8715,2147,0.6961,0.5397,24,4,-1.00,8,10,4,1,30,0.9,0.8,0.2,0.2,107892,17050,2446,0.79,0.20,6.06,0.67
2137,7.54,0.4842,0.8645,2175,0.6912,0.5320,28,4,-1.00,8,14,6,1,30,0.9,0.8,0.2,0.2,126859,27201,2491,0.86,0.28,6.40,0.65
2180,7.30,0.4925,0.8732,2206,0.6976,0.5418,24,4,-1.00,10,12,4,1,30,0.9,0.8,0.2,0.2,82792,20422,2536,0.82,0.22,6.26,0.65
2208,7.44,0.4851,0.8684,2236,0.6966,0.5408,28,4,-1.00,10,8,4,1,30,0.9,0.8,0.2,0.2,97244,15238,2571,0.85,0.17,6.42,0.67

k=300
2222,7.98,0.4814,0.8612,2268,0.6894,0.5298,28,4,-1.00,8,16,6,1,30,0.9,0.8,0.2,0.2,126859,31089,2612,0.86,0.32,6.80,0.65
2393,8.21,0.4686,0.8559,2428,0.6890,0.5307,24,4,-1.00,8,16,4,1,30,0.9,0.8,0.2,0.2,107892,27278,2796,0.81,0.33,7.07,0.66
2419,8.35,0.4772,0.8577,2456,0.6926,0.5359,28,4,-1.00,10,12,4,1,30,0.9,0.8,0.2,0.2,97244,22869,2851,0.85,0.25,7.25,0.66
2474,8.63,0.4713,0.8544,2514,0.6896,0.5320,28,4,-1.00,8,12,4,1,30,0.9,0.8,0.2,0.2,126859,22928,2914,0.84,0.28,7.51,0.64
2543,9.01,0.4658,0.8494,2586,0.6866,0.5279,28,4,-1.00,8,14,4,1,30,0.9,0.8,0.2,0.2,126859,26723,3012,0.85,0.32,7.84,0.66
2675,9.60,0.4609,0.8404,2721,0.6844,0.5251,28,4,-1.00,8,16,4,1,30,0.9,0.8,0.2,0.2,126859,30543,3171,0.84,0.35,8.41,0.65
2794,9.66,0.5220,0.8853,2809,0.6937,0.5383,8,4,-1.00,10,8,4,1,10,0.9,0.8,0.2,0.2,28216,17195,3048,0.65,0.06,8.95,0.67
2862,9.57,0.5324,0.8828,2908,0.6978,0.5434,28,4,-1.00,30,8,4,1,10,0.9,0.8,0.2,0.2,25180,18825,3340,0.85,0.10,8.62,0.66
2900,10.06,0.5123,0.8802,2916,0.6912,0.5356,8,4,-1.00,10,10,4,1,10,0.9,0.8,0.2,0.2,28216,21490,3167,0.63,0.06,9.37,0.66
2994,10.07,0.5323,0.8808,3039,0.6970,0.5425,28,4,-1.00,30,10,4,1,10,0.9,0.8,0.2,0.2,25180,23499,3497,0.87,0.12,9.08,0.66
3026,10.55,0.5067,0.8745,3046,0.6885,0.5322,8,4,-1.00,10,12,4,1,10,0.9,0.8,0.2,0.2,28216,25827,3322,0.60,0.08,9.87,0.67

k=350
3254,12.38,0.4823,0.8487,3281,0.6874,0.5312,12,4,-1.00,10,8,6,1,10,0.9,0.8,0.2,0.2,41978,22994,3628,0.67,0.07,11.64,0.67
3260,11.36,0.4749,0.8464,3291,0.6858,0.5291,12,4,-1.00,8,8,6,1,10,0.9,0.8,0.2,0.2,54760,22480,3637,0.68,0.08,10.60,0.67
3356,12.90,0.4807,0.8477,3385,0.6858,0.5293,12,4,-1.00,10,10,6,1,10,0.9,0.8,0.2,0.2,41978,28715,3746,0.68,0.09,12.13,0.68
3371,11.82,0.4723,0.8441,3406,0.6837,0.5266,12,4,-1.00,8,10,6,1,10,0.9,0.8,0.2,0.2,54760,28069,3766,0.66,0.09,11.07,0.64
3486,13.13,0.4780,0.8450,3515,0.6838,0.5270,12,4,-1.00,10,12,6,1,10,0.9,0.8,0.2,0.2,41978,34478,3904,0.66,0.11,12.36,0.67
3503,12.39,0.4694,0.8406,3537,0.6817,0.5244,12,4,-1.00,8,12,6,1,10,0.9,0.8,0.2,0.2,54760,33695,3927,0.68,0.10,11.61,0.67
3571,12.59,0.4684,0.8389,3607,0.6803,0.5228,12,4,-1.00,8,14,6,1,10,0.9,0.8,0.2,0.2,54760,39338,4008,0.68,0.13,11.78,0.72

k=400
3696,13.22,0.4616,0.8306,3730,0.6783,0.5206,12,4,-1.00,8,16,6,1,10,0.9,0.8,0.2,0.2,54760,44954,4164,0.68,0.15,12.39,0.65
3943,14.14,0.4706,0.8368,3978,0.6767,0.5198,12,4,-1.00,8,8,4,1,10,0.9,0.8,0.2,0.2,54760,24658,4424,0.67,0.09,13.38,0.66
3963,15.21,0.4760,0.8404,4000,0.6783,0.5220,12,4,-1.00,10,8,4,1,10,0.9,0.8,0.2,0.2,41978,25521,4448,0.66,0.09,14.46,0.65
4012,10.89,0.4575,0.8190,4072,0.6757,0.5172,16,4,-1.00,8,8,6,1,10,0.9,0.8,0.2,0.2,71613,29146,4542,0.67,0.10,10.12,0.67
4015,16.28,0.4643,0.8231,4072,0.6777,0.5197,16,4,-1.00,10,8,6,1,10,0.9,0.8,0.2,0.2,54903,29932,4540,0.74,0.09,15.45,0.67
4016,14.73,0.4607,0.8246,4062,0.6768,0.5187,12,4,-1.00,8,8,6,1,8,0.9,0.8,0.2,0.2,54760,28231,4481,0.68,0.09,13.96,0.69
