k,ARI,MSE,MAE,purity,total time,embedding time,c time
78,0.037,0.874531,0.934201,0.25,559.43,0.4,559.03
137,0.041,0.872484,0.933123,0.251,393.031,0.4,392.631
182,0.04,0.873446,0.933656,0.251,1182.911,0.4,1182.511
216,0.041,0.872371,0.933042,0.251,387.961,0.4,387.561
274,0.041,0.873285,0.933542,0.251,1201.365,0.4,1200.965
300,0.039,0.873267,0.933522,0.252,761.141,0.4,760.741
353,0.04,0.872164,0.932876,0.252,1525.148,0.4,1524.748
371,0.041,0.872147,0.932869,0.252,1301.397,0.4,1300.997
430,0.041,0.87304,0.933351,0.253,974.68,0.4,974.28
