k,ARI,MSE,MAE,purity,total time,embedding time,c time
162,0.02,0.872365,0.93299,0.254,441.378,9.52,431.858
234,0.026,0.872288,0.932979,0.258,380.124,9.52,370.604
295,0.026,0.872177,0.932892,0.258,332.475,9.52,322.955
341,0.022,0.872084,0.932781,0.257,423.323,9.52,413.803
392,0.025,0.872012,0.932749,0.259,340.515,9.52,330.995
493,0.019,0.871837,0.932596,0.256,445.955,9.52,436.435
