K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295976,0.530520,76.14,82.64,1000,10,10,0.30,0.30,2,36.78,39.06,3.94,4.36,76.14,82.64
2000,0.276142,0.511828,143.80,160.32,2000,10,10,0.30,0.30,2,75.37,87.91,6.84,7.24,143.80,160.32
3000,0.265805,0.501817,228.00,257.11,3000,10,10,0.30,0.30,2,120.55,149.71,10.74,10.74,228.00,257.11
4000,0.258534,0.494510,309.40,362.72,4000,10,10,0.30,0.30,2,167.98,221.28,14.14,14.14,309.40,362.72
5000,0.253115,0.489268,435.53,512.72,5000,10,10,0.30,0.30,2,248.09,330.78,18.74,18.19,435.53,512.72
6000,0.248460,0.484404,564.81,681.48,6000,10,10,0.30,0.30,2,337.41,457.75,22.74,22.37,564.82,681.48
6999,0.244686,0.480699,701.65,862.70,7000,10,10,0.30,0.30,2,430.01,598.08,27.17,26.46,701.66,862.70
7999,0.241449,0.477426,835.12,1048.77,8000,10,10,0.30,0.30,2,526.57,746.76,30.86,30.20,835.12,1048.77
9000,0.238485,0.474401,981.24,1249.60,9000,10,10,0.30,0.30,2,622.18,899.67,35.91,34.99,981.24,1249.60
10000,0.236267,0.472023,1077.94,1406.48,10000,10,10,0.30,0.30,2,681.37,1021.78,39.66,38.47,1077.94,1406.48

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295837,0.529761,66.81,72.01,1000,10,10,0.30,0.30,3,29.63,30.79,3.72,4.12,66.81,72.01
2000,0.278856,0.513246,108.81,117.14,2000,10,9,0.30,0.30,3,49.01,53.84,6.64,7.03,115.46,124.17
3000,0.267688,0.502681,159.38,171.61,3000,10,9,0.30,0.30,3,68.77,80.45,10.07,10.13,169.48,181.72
4000,0.261341,0.496146,205.67,223.55,4000,10,10,0.30,0.30,3,68.94,86.64,13.67,13.69,205.67,223.55
5000,0.255638,0.490550,284.11,309.84,5000,10,10,0.30,0.30,3,104.75,134.17,17.94,17.57,284.11,309.84
6000,0.252299,0.486699,321.29,359.14,6000,10,10,0.30,0.30,3,102.73,143.87,21.86,21.53,321.29,359.14
7000,0.247982,0.482551,385.53,428.86,7000,10,10,0.30,0.30,3,123.68,174.53,26.18,25.43,385.53,428.86
8000,0.244755,0.479375,451.11,512.47,8000,10,10,0.30,0.30,3,148.82,216.72,30.23,29.57,451.11,512.47
8999,0.241297,0.475902,545.17,637.85,9000,10,10,0.30,0.30,3,200.40,305.18,34.48,33.27,545.17,637.85
10000,0.239531,0.473893,596.04,706.78,10000,10,10,0.30,0.30,3,207.96,333.00,38.81,37.38,596.04,706.78
