Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
9588,143.70,0.1111,0.2642,9623,0.1191,0.0245,24,4,-1.00,50,12,4,1,50,0.9,0.8,0.5,0.3,57610,81368,13040,1.20,10.81,131.69,2.24
10134,142.51,0.1089,0.2700,10161,0.1186,0.0242,20,4,-1.00,40,8,4,1,30,0.9,0.8,0.5,0.3,57002,59230,13173,1.11,6.63,134.77,2.11
10364,142.51,0.1074,0.2689,10394,0.1187,0.0242,16,4,-1.00,30,10,4,1,30,0.9,0.8,0.5,0.3,59573,71056,13165,1.01,6.75,134.75,2.05
10364,142.62,0.1074,0.2689,10394,0.1187,0.0242,16,4,-1.00,30,10,4,1,30,0.9,0.8,0.5,0.3,59573,71056,13165,1.00,6.79,134.83,2.13

10781,179.13,0.0989,0.2682,10808,0.1147,0.0237,20,6,-1.00,30,10,6,1,30,0.9,0.8,0.5,0.3,95859,88284,14698,1.15,6.86,171.12,2.32
10887,178.67,0.0981,0.2650,10908,0.1137,0.0233,16,6,-1.00,30,8,4,1,30,0.9,0.8,0.5,0.3,76640,66979,14773,1.05,4.74,172.88,2.34
10962,174.79,0.1079,0.2660,11005,0.1156,0.0233,28,4,-1.00,40,10,6,1,30,0.9,0.8,0.5,0.3,80233,87894,14590,1.26,10.14,163.39,2.50
11096,175.16,0.1081,0.2563,11137,0.1153,0.0230,20,4,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,57002,88793,14702,1.13,9.55,164.48,2.78
11251,177.04,0.1067,0.2657,11285,0.1161,0.0233,24,4,-1.00,30,10,6,1,30,0.9,0.8,0.5,0.3,87817,91142,14667,1.18,8.94,166.92,2.34

11839,220.16,0.0971,0.2568,11864,0.1233,0.0283,16,6,-1.00,30,12,4,1,30,0.9,0.8,0.5,0.3,76640,100430,16515,1.04,6.97,212.15,3.28
11923,213.83,0.1084,0.2503,11992,0.1246,0.0281,28,4,-1.00,50,10,4,1,30,0.9,0.8,0.5,0.3,66635,89975,16403,1.26,10.54,202.03,3.42
