alpha,MSE,MAE,Time
0.00,0.988159,0.994068,0.007726
0.01,0.882161,0.939188,0.002455
0.02,0.822530,0.906798,0.002291
0.03,0.779355,0.882540,0.002239
0.04,0.751645,0.866524,0.002204
0.05,0.721929,0.848959,0.002188
0.06,0.695824,0.833092,0.002166
0.07,0.679664,0.823094,0.002157
0.08,0.668578,0.816221,0.002143
0.09,0.660306,0.810892,0.002137
0.10,0.649660,0.804310,0.002131
0.11,0.640410,0.798168,0.002111
0.12,0.621583,0.785796,0.002119
0.13,0.614069,0.780395,0.002093
0.14,0.606994,0.775367,0.002083
0.15,0.603371,0.772703,0.002076
0.16,0.601273,0.771150,0.002066
0.17,0.599465,0.769362,0.002058
0.18,0.596718,0.766284,0.002040
0.19,0.596718,0.766284,0.002042
0.20,0.596718,0.766284,0.002040
0.21,0.596826,0.766138,0.002036
0.22,0.596826,0.766138,0.002039
0.23,0.596826,0.766138,0.002010
0.24,0.596826,0.766138,0.002062
0.25,0.600753,0.768150,0.002016
0.26,0.604445,0.771307,0.002005
0.27,0.627964,0.790282,0.001964
0.28,0.634035,0.793984,0.001962
0.29,0.634035,0.793984,0.001943
0.30,0.634035,0.793984,0.001943
0.31,0.634035,0.793984,0.001942
0.32,0.638668,0.796907,0.001934
0.33,0.638668,0.796907,0.001931
0.34,0.644275,0.800536,0.001927
0.35,0.644275,0.800536,0.001935
0.36,0.672421,0.817523,0.001868
0.37,0.672421,0.817523,0.001866
0.38,0.672421,0.817523,0.001867
0.39,0.672421,0.817523,0.001869
0.40,0.672421,0.817523,0.001865
0.41,0.681810,0.823151,0.001857
0.42,0.681810,0.823151,0.001856
0.43,0.681810,0.823151,0.001855
0.44,0.681810,0.823151,0.001856
0.45,0.693236,0.830344,0.001845
0.46,0.693236,0.830344,0.001868
0.47,0.693236,0.830344,0.001855
0.48,0.693236,0.830344,0.001854
0.49,0.735635,0.856379,0.001819
0.50,0.735635,0.856379,0.001818
0.51,0.785696,0.885694,0.001788
0.52,0.803809,0.895984,0.001770
0.53,0.803809,0.895984,0.001769
0.54,0.823770,0.907145,0.001757
0.55,0.845044,0.918843,0.001765
0.56,0.845044,0.918843,0.001748
0.57,0.845044,0.918843,0.001747
0.58,0.845044,0.918843,0.001747
0.59,0.845044,0.918843,0.001748
0.60,0.845044,0.918843,0.001749
0.61,0.845044,0.918843,0.001757
0.62,0.845044,0.918843,0.001745
0.63,0.845044,0.918843,0.001745
0.64,0.845044,0.918843,0.001745
0.65,0.845044,0.918843,0.001745
0.66,0.845044,0.918843,0.001745
0.67,0.845044,0.918843,0.001744
0.68,0.845044,0.918843,0.001745
0.69,0.845044,0.918843,0.001744
0.70,0.845044,0.918843,0.001745
0.71,0.845044,0.918843,0.001744
0.72,0.845044,0.918843,0.001747
0.73,0.845044,0.918843,0.001745
0.74,0.845044,0.918843,0.001744
0.75,0.845044,0.918843,0.001745
0.76,0.876921,0.936280,0.001724
0.77,0.876921,0.936280,0.001723
0.78,0.910722,0.954251,0.001714
0.79,0.910722,0.954251,0.001713
0.80,0.910722,0.954251,0.001712
0.81,0.910722,0.954251,0.001712
0.82,0.910722,0.954251,0.001711
0.83,0.910722,0.954251,0.001711
0.84,0.910722,0.954251,0.001711
0.85,0.910722,0.954251,0.001712
0.86,0.910722,0.954251,0.001711
0.87,0.910722,0.954251,0.001711
0.88,0.910722,0.954251,0.001711
0.89,0.910722,0.954251,0.001711
0.90,0.910722,0.954251,0.001713
0.91,0.910722,0.954251,0.001721
0.92,0.910722,0.954251,0.001708
0.93,0.910722,0.954251,0.001709
0.94,0.953182,0.976287,0.001693
0.95,0.953182,0.976287,0.001693
0.96,0.953182,0.976287,0.001693
0.97,0.953182,0.976287,0.001692
0.98,0.953182,0.976287,0.001692
0.99,0.953182,0.976287,0.001692
1.00,0.953182,0.976287,0.001692

FreqItem (alpha = 0.18)
FreqItem,0.596718,0.766284,0.002040

Mode (each dim)
Mode1,0.988159,0.994068,0.007402

Mode (all dim)
