alpha,MSE,MAE,Time
0.00,0.986498,0.993225,0.002474
0.01,0.909677,0.953731,0.000927
0.02,0.860206,0.927340,0.000854
0.03,0.830680,0.911222,0.000798
0.04,0.798342,0.893161,0.000783
0.05,0.759045,0.870516,0.000765
0.06,0.729790,0.852989,0.000761
0.07,0.695317,0.831973,0.000746
0.08,0.674122,0.818526,0.000738
0.09,0.660712,0.809969,0.000732
0.10,0.651084,0.803622,0.000730
0.11,0.646711,0.800562,0.000728
0.12,0.633180,0.791269,0.000739
0.13,0.633180,0.791269,0.000731
0.14,0.626177,0.787940,0.000715
0.15,0.622734,0.785246,0.000710
0.16,0.619340,0.783154,0.000706
0.17,0.619340,0.783154,0.000704
0.18,0.617490,0.781980,0.000701
0.19,0.617490,0.781980,0.000705
0.20,0.615809,0.782181,0.000675
0.21,0.615809,0.782181,0.000672
0.22,0.616390,0.782284,0.000670
0.23,0.616390,0.782284,0.000667
0.24,0.616390,0.782284,0.000668
0.25,0.616390,0.782284,0.000666
0.26,0.620945,0.785847,0.000662
0.27,0.626041,0.788463,0.000654
0.28,0.626041,0.788463,0.000654
0.29,0.626041,0.788463,0.000657
0.30,0.626041,0.788463,0.000652
0.31,0.626041,0.788463,0.000652
0.32,0.626041,0.788463,0.000651
0.33,0.626041,0.788463,0.000651
0.34,0.638827,0.796616,0.000640
0.35,0.638827,0.796616,0.000639
0.36,0.655127,0.807159,0.000634
0.37,0.655127,0.807159,0.000632
0.38,0.674878,0.819359,0.000625
0.39,0.674878,0.819359,0.000623
0.40,0.674878,0.819359,0.000622
0.41,0.674878,0.819359,0.000622
0.42,0.674878,0.819359,0.000620
0.43,0.674878,0.819359,0.000620
0.44,0.674878,0.819359,0.000622
0.45,0.674878,0.819359,0.000619
0.46,0.674878,0.819359,0.000620
0.47,0.674878,0.819359,0.000619
0.48,0.674878,0.819359,0.000619
0.49,0.674878,0.819359,0.000619
0.50,0.674878,0.819359,0.000618
0.51,0.674878,0.819359,0.000619
0.52,0.674878,0.819359,0.000618
0.53,0.713862,0.843718,0.000616
0.54,0.713862,0.843718,0.000616
0.55,0.713862,0.843718,0.000614
0.56,0.713862,0.843718,0.000612
0.57,0.713862,0.843718,0.000613
0.58,0.713862,0.843718,0.000611
0.59,0.713862,0.843718,0.000612
0.60,0.713862,0.843718,0.000611
0.61,0.713862,0.843718,0.000610
0.62,0.713862,0.843718,0.000611
0.63,0.713862,0.843718,0.000611
0.64,0.713862,0.843718,0.000610
0.65,0.713862,0.843718,0.000611
0.66,0.713862,0.843718,0.000614
0.67,0.713862,0.843718,0.000610
0.68,0.713862,0.843718,0.000611
0.69,0.713862,0.843718,0.000626
0.70,0.713862,0.843718,0.000613
0.71,0.713862,0.843718,0.000612
0.72,0.713862,0.843718,0.000613
0.73,0.713862,0.843718,0.000612
0.74,0.713862,0.843718,0.000612
0.75,0.713862,0.843718,0.000612
0.76,0.713862,0.843718,0.000613
0.77,0.713862,0.843718,0.000612
0.78,0.713862,0.843718,0.000612
0.79,0.713862,0.843718,0.000612
0.80,0.713862,0.843718,0.000612
0.81,0.713862,0.843718,0.000611
0.82,0.713862,0.843718,0.000613
0.83,0.789492,0.887792,0.000604
0.84,0.789492,0.887792,0.000604
0.85,0.789492,0.887792,0.000603
0.86,0.789492,0.887792,0.000602
0.87,0.789492,0.887792,0.000601
0.88,0.789492,0.887792,0.000600
0.89,0.789492,0.887792,0.000604
0.90,0.789492,0.887792,0.000601
0.91,0.789492,0.887792,0.000600
0.92,0.789492,0.887792,0.000600
0.93,0.789492,0.887792,0.000599
0.94,0.789492,0.887792,0.000600
0.95,0.789492,0.887792,0.000599
0.96,0.789492,0.887792,0.000600
0.97,0.888379,0.942270,0.000594
0.98,0.888379,0.942270,0.000592
0.99,0.888379,0.942270,0.000592
1.00,0.888379,0.942270,0.000592

FreqItem (alpha = 0.20)
FreqItem,0.615809,0.782181,0.000675

Mode (each dim)
Mode1,0.986498,0.993225,0.002440

Mode (all dim)
Mode2,0.888379,0.942270,0.000594

Medoid (ID=534)
Medoid,0.694937,0.825644,0.134892

ID,MSE,MAE,DataID
1,0.776289,0.879444,2375552
2,0.748119,0.863073,561198
3,0.770954,0.876442,25155367
4,0.798466,0.891528,1582189
5,0.844799,0.917977,8957085
6,0.728045,0.848142,16310277
7,0.783515,0.883783,33516194
8,0.799892,0.891434,15855396
9,0.758534,0.864698,37432298
10,0.735347,0.850688,26216200
11,0.792503,0.886573,26262759
12,0.811148,0.897647,36796108
13,0.848281,0.917741,7519257
14,0.793432,0.889290,11558019
15,0.837203,0.913572,2070273
16,0.784447,0.884008,7017623
17,0.786963,0.885714,34926211
18,0.794708,0.888776,31907787
19,0.817811,0.901518,19728352
20,0.744522,0.861000,17896479
21,0.754676,0.866780,13122891
22,0.763677,0.870951,28398815
23,0.800049,0.892909,13840920
24,0.826343,0.907065,2031732
25,0.761356,0.869482,19155424
26,0.737194,0.851023,36954488
27,0.815550,0.900817,34997596
28,0.843710,0.917404,942929
29,0.754134,0.866804,19378224
30,0.737451,0.853855,16493363
31,0.770127,0.875959,25786344
32,0.811305,0.897691,21753776
33,0.740895,0.855807,17054561
34,0.828692,0.908633,10512751
35,0.753832,0.864168,23335966
36,0.719686,0.840640,26011646
37,0.755365,0.862471,26823028
38,0.813456,0.899158,16423200
39,0.835747,0.911801,1438083
40,0.743470,0.859959,23826366
41,0.848283,0.918967,2210440
42,0.818129,0.901730,27700842
43,0.806770,0.895773,20193515
44,0.851886,0.919575,9729698
45,0.726219,0.847996,39258862
46,0.755285,0.862648,22263788
47,0.757814,0.867986,16747322
48,0.767390,0.871817,33756114
49,0.817566,0.901974,13742615
50,0.849750,0.920597,36475674
51,0.755241,0.866695,11223633
52,0.815674,0.900430,26865507
53,0.811203,0.896832,24445530
54,0.793145,0.888736,25064554
55,0.802681,0.893370,28897240
56,0.860861,0.926852,3171995
57,0.704953,0.834094,21590082
58,0.710497,0.835676,23465876
59,0.752221,0.864820,4114924
60,0.799101,0.892030,539346
61,0.744482,0.860977,39959239
62,0.740821,0.853894,29901269
63,0.759436,0.865577,22293123
64,0.737186,0.853685,16584841
65,0.762853,0.866959,40414020
66,0.790279,0.887231,5200129
67,0.791586,0.887819,2167528
68,0.757145,0.865870,26808089
69,0.822412,0.905494,21623330
70,0.839462,0.914269,3605612
71,0.789504,0.886636,10205496
72,0.747972,0.858169,23833771
73,0.735617,0.853057,31306455
74,0.820668,0.902854,30399012
75,0.784946,0.883703,33563469
76,0.724185,0.843618,30136357
77,0.868033,0.930537,12233840
78,0.775540,0.878971,9881831
79,0.747251,0.860803,23463511
80,0.710109,0.835356,25976456
81,0.892554,0.943860,5928546
82,0.751279,0.863986,34687145
83,0.929821,0.963188,12413003
84,0.768784,0.873354,30374077
85,0.841338,0.916002,19322739
86,0.858408,0.925233,881283
87,0.798848,0.892587,33546072
88,0.804073,0.894534,483862
89,0.763584,0.871561,24347160
90,0.771097,0.874912,37660997
91,0.821165,0.904424,1023208
92,0.774775,0.877687,23877440
93,0.799226,0.891368,27133306
94,0.771384,0.875092,23316332
95,0.801446,0.893522,33321
96,0.795978,0.889256,27118367
97,0.728576,0.848593,28516462
98,0.882007,0.937470,2200850
99,0.785988,0.883423,13497497
100,0.821739,0.904895,9710833
101,0.857175,0.924744,5806462
102,0.842224,0.916456,23702994
103,0.813559,0.899223,33544604
104,0.816962,0.901909,37112917
105,0.767391,0.874429,13673046
106,0.773415,0.876056,26679114
107,0.729701,0.848807,26820315
108,0.810822,0.896861,25906886
109,0.798480,0.890712,36560945
110,0.839514,0.914449,9854867
111,0.817688,0.902797,11454383
112,0.812022,0.898651,2060532
113,0.790935,0.888067,4113052
114,0.807221,0.897156,23867387
115,0.720007,0.843925,32434609
116,0.764464,0.871415,23435792
117,0.795617,0.889311,24748670
118,0.752721,0.861052,25551722
119,0.778334,0.880348,23919654
120,0.785100,0.884836,8666871
121,0.754488,0.862263,22783759
122,0.790195,0.887274,24942863
123,0.790058,0.887525,32544311
124,0.883094,0.937788,9488106
125,0.740208,0.858154,7830236
126,0.775434,0.876620,32577633
127,0.752428,0.865734,36606474
128,0.772640,0.876441,36346698
129,0.817744,0.902948,34778484
130,0.946492,0.971937,9675011
131,0.832042,0.908438,5628571
132,0.857188,0.924699,155986
133,0.812036,0.898516,33378006
134,0.812392,0.898492,39173176
135,0.797058,0.889686,37268904
136,0.842140,0.914163,6622092
137,0.825091,0.906245,25423330
138,0.768426,0.872469,23660259
139,0.740366,0.856725,32528979
140,0.730394,0.851382,21555316
141,0.809517,0.896620,33515126
142,0.884837,0.939806,3554402
143,0.790849,0.885931,23615848
144,0.805476,0.894842,37628179
145,0.778890,0.879828,27421789
146,0.766406,0.874042,15621498
147,0.732452,0.853419,20635012
148,0.811069,0.898297,11741500
149,0.784153,0.883658,744261
150,0.754491,0.866244,4125706
151,0.749009,0.859079,20408372
152,0.816216,0.901048,23528021
153,0.781431,0.878158,29068570
154,0.743433,0.860128,12523723
155,0.813343,0.899433,33016127
156,0.806799,0.895299,36898806
157,0.929304,0.962709,4672397
158,0.779167,0.880512,29193642
159,0.796218,0.888981,32816545
160,0.756365,0.866345,39450881
161,0.734041,0.854541,38868654
162,0.800338,0.891999,38445117
163,0.749484,0.860854,39606868
164,0.778974,0.879550,31817700
165,0.828859,0.907057,37189333
166,0.777179,0.877890,36446812
167,0.766708,0.871313,38439792
168,0.731542,0.848077,22183703
169,0.804478,0.894935,19678111
170,0.780999,0.882343,30539811
171,0.840918,0.914274,3310059
172,0.909690,0.952574,12764278
173,0.812601,0.899769,34094214
174,0.795022,0.887740,26925908
175,0.831908,0.909931,9963498
176,0.826098,0.906887,21087044
177,0.812401,0.898888,2118446
178,0.801617,0.893754,30598510
179,0.751579,0.862628,32828544
180,0.778799,0.880849,2862707
181,0.775628,0.879190,34724217
182,0.816892,0.901660,12807956
183,0.814656,0.899836,26390728
184,0.784239,0.883490,23363827
185,0.866544,0.929875,25331680
186,0.743994,0.860381,18977896
187,0.758806,0.868965,19833674
188,0.742361,0.858012,30004078
189,0.783494,0.882083,7742579
190,0.773028,0.875870,12221259
191,0.752568,0.865904,29025999
192,0.853132,0.920947,6182273
193,0.757247,0.868161,10237417
194,0.764512,0.872101,28203908
195,0.790901,0.886287,37999973
196,0.817417,0.902277,6997790
197,0.781190,0.881593,24221760
198,0.789035,0.884582,36010806
199,0.794155,0.887719,29181494
200,0.846893,0.918931,3470911
201,0.812930,0.898157,26121658
202,0.747996,0.860751,32491553
203,0.865576,0.928523,16235190
204,0.768214,0.873841,19786912
205,0.782513,0.882159,18988501
206,0.768356,0.872449,26198688
207,0.831338,0.910206,444996
208,0.826241,0.907399,21106948
209,0.718442,0.842422,16368238
210,0.795528,0.888361,33273541
211,0.758598,0.866557,23969656
212,0.791891,0.886822,10663495
213,0.840844,0.913454,5652538
214,0.767252,0.874102,9931425
215,0.736030,0.853348,34027323
216,0.752667,0.865165,30984219
217,0.765161,0.873259,28909321
218,0.820412,0.903767,13432038
