alpha,MSE,MAE,Time
535,0.759048,0.869141,1573069
536,0.882659,0.938541,4647891
537,0.791339,0.888114,4106
538,0.799762,0.891077,9088596
539,0.756981,0.863323,9509374
540,0.832245,0.911002,9703370
541,0.757542,0.868511,8177454
542,0.810091,0.898448,3685226
543,0.830749,0.910284,8326842
544,0.823851,0.906608,515923
545,0.724671,0.842866,1018605
546,0.827793,0.908451,5330620
547,0.722164,0.840760,7451648
548,0.734759,0.850722,2492161
549,0.705279,0.832207,3230792
550,0.843648,0.917524,1895091
551,0.790038,0.887349,3583267
552,0.787915,0.886529,3535843
553,0.802620,0.891999,1078502
554,0.793150,0.889171,1331525
555,0.820069,0.904492,505018
556,0.821162,0.904560,9904460
557,0.751314,0.859168,5946389
558,0.794451,0.887269,7323957
559,0.794969,0.890117,9190309
560,0.778182,0.880588,1372925
561,0.755682,0.867312,8566859
562,0.761522,0.865664,5342943
563,0.797336,0.891185,8090947
564,0.853608,0.922243,2115201
565,0.832033,0.911069,1191471
566,0.759107,0.864351,9664016
567,0.792933,0.888373,6763092
568,0.755831,0.862627,1195577
569,0.822655,0.903721,8752613
570,0.846808,0.919229,6272466
571,0.789550,0.882611,898947
572,0.752072,0.860261,6930067
573,0.801058,0.893576,9957692
574,0.792355,0.888536,9225790
575,0.815489,0.901156,7445991
576,0.805624,0.896014,976298
577,0.783502,0.883318,4556410
578,0.781227,0.877677,4897640
579,0.849802,0.919502,3468459
580,0.904881,0.950368,7787202
581,0.901761,0.948668,6792731
582,0.717772,0.837920,7051727
583,0.791240,0.884522,1323046
584,0.741823,0.854136,7871234
585,0.853142,0.920976,8383252
586,0.770652,0.871030,1828065
587,0.830400,0.909278,7775695
588,0.796107,0.890452,4329642
589,0.769890,0.871342,9152022
590,0.813474,0.897469,6966004
591,0.850042,0.920604,5702567
592,0.801513,0.893821,7718882
593,0.806097,0.896390,2308948
594,0.778178,0.880798,3793514
595,0.809219,0.896500,9834083
596,0.798272,0.892084,3500419
597,0.768535,0.872781,3457531
598,0.793183,0.888648,6597175
599,0.795589,0.889967,4695996
600,0.798371,0.891836,2210144
601,0.799962,0.889716,2869641
602,0.745207,0.856022,5594944
603,0.855249,0.923885,9140212
604,0.829993,0.907688,2827334
605,0.726594,0.843907,4820734
606,0.780426,0.881605,6586204
607,0.790369,0.887039,3803632
608,0.769146,0.873222,9377145
609,0.739667,0.852806,1483844
610,0.791866,0.886292,7272092
611,0.754397,0.866080,7164348
612,0.808705,0.898135,8276576
613,0.778646,0.876612,4323819
614,0.817713,0.902874,8487394
615,0.775971,0.874590,6147811
616,0.783040,0.881632,2707072
617,0.793440,0.888565,315459
618,0.780608,0.879767,3923506
619,0.829255,0.909690,7036714
620,0.782358,0.878789,9467482
621,0.724816,0.843343,889511
622,0.745571,0.855923,2739282
623,0.731686,0.847378,7186364
624,0.830739,0.910161,3198459
625,0.823679,0.906099,6532797
626,0.765675,0.873443,7020447
627,0.810526,0.899020,6698878
628,0.830028,0.909369,9990329
629,0.844284,0.917397,3617623
630,0.824103,0.905594,1394875
631,0.779230,0.880889,2200474
632,0.812014,0.897608,6487265
633,0.790936,0.885994,6989820
634,0.836430,0.912597,1340686
635,0.804387,0.895110,9314599
636,0.765174,0.872620,1810555
637,0.838515,0.912625,7926891
638,0.840523,0.915441,3118232
639,0.847916,0.919888,1187700
640,0.822507,0.905471,9410735
641,0.797156,0.891332,390324
642,0.777863,0.880314,8352048
643,0.804696,0.895573,7687311
644,0.839158,0.915139,4714144
645,0.774925,0.874547,6839443
646,0.799489,0.890877,3835122
647,0.780549,0.879975,7421216
648,0.868049,0.930524,7154903
649,0.811333,0.899481,7758629
650,0.805121,0.895653,4457931
651,0.758491,0.869061,6622385
652,0.834817,0.912718,8648140
653,0.855132,0.923802,7197213
654,0.753883,0.866553,3808750
655,0.714943,0.836527,1846599
656,0.803446,0.893158,3730010
657,0.816490,0.901679,829198
658,0.777539,0.878216,8545478
659,0.841700,0.916336,3720339
660,0.774642,0.876204,4446821
661,0.736428,0.850322,9940354
662,0.776986,0.877566,5920813
663,0.863997,0.928566,934086
664,0.751400,0.859248,6930174
665,0.780012,0.880039,7261500
666,0.762290,0.871382,248686
667,0.823406,0.905522,8740729
668,0.760372,0.869949,5188391
669,0.745978,0.860061,3366918
670,0.820745,0.904530,9928430
671,0.839490,0.915088,4599127
672,0.810771,0.898979,3757242
673,0.730708,0.850753,8280479
674,0.809451,0.898351,2286439
675,0.745976,0.856263,8471386
676,0.844968,0.918329,5119923
677,0.867016,0.929795,6121562
678,0.784520,0.884239,5892603
679,0.873605,0.933802,2274826
680,0.781734,0.878587,3880191
681,0.732562,0.848123,350534
682,0.738919,0.852149,8897212
683,0.723308,0.842366,2528332
684,0.812330,0.899291,7547747
685,0.766737,0.873673,2705962
686,0.827270,0.907848,4374932
687,0.845692,0.918713,1277757
688,0.800119,0.892341,3535161
689,0.725044,0.843622,2920411
690,0.772640,0.876844,4998097
691,0.869052,0.931023,7981982
692,0.836180,0.912814,2860765
693,0.824448,0.906817,918911
694,0.815870,0.901579,8916069
695,0.789123,0.884093,9790940
696,0.785490,0.884357,8180412
697,0.705839,0.831982,9164755
698,0.797132,0.891265,8531670
699,0.789239,0.886961,3368803
700,0.786768,0.883869,2531674
