alpha,MSE,MAE,Time
641,0.748775,0.863691,6280088
642,0.806311,0.896193,11841202
643,0.756051,0.865788,35666600
644,0.749827,0.864099,14798129
645,0.790120,0.887226,36363071
646,0.799793,0.891254,30226217
647,0.772845,0.876798,19236326
648,0.795619,0.890736,11036585
649,0.733966,0.849515,38271690
650,0.864974,0.929065,4945505
651,0.767991,0.874456,34998502
652,0.825828,0.907232,25195103
653,0.821667,0.903983,29054932
654,0.764828,0.873155,37378170
655,0.859716,0.925455,7441606
656,0.793478,0.888377,11412438
657,0.816343,0.901202,6758321
658,0.782624,0.881818,8206148
659,0.802655,0.894859,25313588
660,0.840017,0.914970,7125150
661,0.772601,0.877472,5121105
662,0.852761,0.919756,9199686
663,0.869125,0.931196,38283179
664,0.806005,0.895962,560598
665,0.849774,0.918386,6501964
666,0.790625,0.886135,4851043
667,0.779785,0.881625,18672025
668,0.780776,0.880157,26220004
669,0.803896,0.893767,37001416
670,0.801345,0.893415,4077542
671,0.775828,0.879312,24832546
672,0.883450,0.938298,2852544
673,0.702196,0.831590,15918744
674,0.851050,0.921216,20070187
675,0.773907,0.878040,17650673
676,0.796812,0.891093,11852856
677,0.769742,0.873855,9867444
678,0.852867,0.922495,36887000
679,0.749676,0.859667,22889441
680,0.754332,0.865332,7710175
681,0.759287,0.868565,1403546
682,0.770241,0.875225,17458984
683,0.817248,0.901061,32905278
684,0.841266,0.915846,30458478
685,0.887992,0.940858,14408195
686,0.794203,0.889921,40346884
687,0.807445,0.896606,1441957
688,0.753752,0.865201,21166516
689,0.830775,0.907330,8124073
690,0.803665,0.894837,26755545
691,0.733165,0.849161,28291667
692,0.800871,0.893385,13245178
693,0.761606,0.870164,35955231
694,0.715772,0.838456,26145886
695,0.767588,0.874237,13805777
696,0.773077,0.876686,2028235
697,0.734133,0.850013,30996930
698,0.814917,0.899789,32477802
699,0.775412,0.876671,28248240
700,0.748136,0.860593,27569386
701,0.816316,0.900470,36555345
702,0.834123,0.912043,12651827
703,0.795125,0.888369,30421931
704,0.828244,0.906411,12045130
705,0.807349,0.897284,32722014
706,0.789067,0.886654,7643645
707,0.768932,0.875179,23897986
708,0.913737,0.954711,2160499
709,0.766792,0.874086,4101685
710,0.885883,0.940271,6358468
711,0.795914,0.890831,9870674
712,0.843062,0.914103,5505232
713,0.721250,0.846572,23817452
714,0.826294,0.907471,2346993
715,0.732317,0.848791,35963710
716,0.748442,0.858352,38225647
717,0.821471,0.904793,2264918
718,0.778921,0.880666,37405667
719,0.744646,0.861107,18963203
720,0.791669,0.888217,10388991
721,0.795427,0.890537,23732252
722,0.839116,0.912285,6825911
723,0.802658,0.893359,23634170
724,0.784816,0.882976,19258523
725,0.816788,0.901801,32971797
