alpha,MSE,MAE,Time
0.00,0.987976,0.993961,0.007128
0.01,0.882838,0.939551,0.002261
0.02,0.819934,0.905363,0.002111
0.03,0.765694,0.874676,0.002051
0.04,0.727457,0.852261,0.002024
0.05,0.714001,0.844167,0.002071
0.06,0.684608,0.826116,0.002030
0.07,0.670501,0.817218,0.002013
0.08,0.660181,0.810618,0.002011
0.09,0.651452,0.804937,0.001965
0.10,0.638921,0.796923,0.002001
0.11,0.627294,0.789501,0.001977
0.12,0.618535,0.783742,0.001975
0.13,0.611427,0.778901,0.001942
0.14,0.597761,0.769152,0.001923
0.15,0.593782,0.765959,0.001906
0.16,0.590229,0.763123,0.001880
0.17,0.588254,0.761303,0.001874
0.18,0.586481,0.759321,0.001863
0.19,0.586481,0.759321,0.001862
0.20,0.586481,0.759321,0.001863
0.21,0.586720,0.759112,0.001854
0.22,0.587075,0.759241,0.001850
0.23,0.587075,0.759241,0.001853
0.24,0.588191,0.760282,0.001847
0.25,0.588191,0.760282,0.001847
0.26,0.591521,0.762028,0.001832
0.27,0.593540,0.763144,0.001824
0.28,0.595878,0.764251,0.001814
0.29,0.595878,0.764251,0.001817
0.30,0.629170,0.791071,0.001774
0.31,0.629170,0.791071,0.001775
0.32,0.633988,0.794197,0.001765
0.33,0.633988,0.794197,0.001767
0.34,0.633988,0.794197,0.001767
0.35,0.639983,0.798030,0.001760
0.36,0.639983,0.798030,0.001760
0.37,0.639983,0.798030,0.001759
0.38,0.639983,0.798030,0.001764
0.39,0.672217,0.817393,0.001749
0.40,0.672217,0.817393,0.001753
0.41,0.672217,0.817393,0.001738
0.42,0.682228,0.823444,0.001729
0.43,0.704582,0.837247,0.001703
0.44,0.704582,0.837247,0.001702
0.45,0.704582,0.837247,0.001700
0.46,0.717908,0.845499,0.001697
0.47,0.717908,0.845499,0.001698
0.48,0.732712,0.854683,0.001685
0.49,0.747984,0.863839,0.001669
0.50,0.747984,0.863839,0.001668
0.51,0.782029,0.883676,0.001639
0.52,0.800537,0.894135,0.001630
0.53,0.820442,0.905283,0.001619
0.54,0.841261,0.916826,0.001602
0.55,0.841261,0.916826,0.001601
0.56,0.841261,0.916826,0.001613
0.57,0.841261,0.916826,0.001605
0.58,0.841261,0.916826,0.001594
0.59,0.841261,0.916826,0.001593
0.60,0.841261,0.916826,0.001594
0.61,0.841261,0.916826,0.001593
0.62,0.841261,0.916826,0.001594
0.63,0.841261,0.916826,0.001594
0.64,0.841261,0.916826,0.001594
0.65,0.841261,0.916826,0.001593
0.66,0.841261,0.916826,0.001595
0.67,0.841261,0.916826,0.001594
0.68,0.841261,0.916826,0.001594
0.69,0.841261,0.916826,0.001597
0.70,0.841261,0.916826,0.001594
0.71,0.841261,0.916826,0.001595
0.72,0.841261,0.916826,0.001594
0.73,0.841261,0.916826,0.001594
0.74,0.841261,0.916826,0.001594
0.75,0.841261,0.916826,0.001594
0.76,0.841261,0.916826,0.001594
0.77,0.841261,0.916826,0.001594
0.78,0.841261,0.916826,0.001594
0.79,0.875034,0.935289,0.001574
0.80,0.875034,0.935289,0.001572
0.81,0.910827,0.954308,0.001564
0.82,0.910827,0.954308,0.001562
0.83,0.910827,0.954308,0.001562
0.84,0.910827,0.954308,0.001564
0.85,0.910827,0.954308,0.001563
0.86,0.910827,0.954308,0.001561
0.87,0.910827,0.954308,0.001563
0.88,0.910827,0.954308,0.001562
0.89,0.910827,0.954308,0.001562
0.90,0.910827,0.954308,0.001562
0.91,0.952625,0.976005,0.001547
0.92,0.952625,0.976005,0.001547
0.93,0.952625,0.976005,0.001546
0.94,0.952625,0.976005,0.001546
0.95,0.952625,0.976005,0.001546
0.96,0.952625,0.976005,0.001546
0.97,0.952625,0.976005,0.001545
0.98,0.952625,0.976005,0.001545
0.99,0.952625,0.976005,0.001546
1.00,0.952625,0.976005,0.001545

FreqItem (alpha = 0.18)
FreqItem,0.586481,0.759321,0.001863

Mode (each dim)
Mode1,0.987976,0.993961,0.007158

Mode (all dim)
Mode2,0.952625,0.976005,0.001515

Medoid (ID=463)
Medoid,0.679318,0.814583,0.356349

ID,MSE,MAE,DataID
1,0.805198,0.895910,4572396
2,0.837672,0.914126,6403677
3,0.800292,0.893309,7170915
4,0.793300,0.886880,4600674
5,0.852391,0.921921,5411395
6,0.806487,0.896462,58431
7,0.783948,0.883555,2686842
8,0.741542,0.853027,1916303
9,0.832798,0.911286,6933702
10,0.714671,0.836947,4440973
11,0.822145,0.905435,2363597
12,0.800374,0.893211,6530866
13,0.797883,0.892023,2191548
14,0.784808,0.884272,3493240
15,0.838470,0.914734,5143516
16,0.790952,0.887775,4264115
17,0.843503,0.917514,3435200
18,0.798320,0.891534,504662
19,0.804874,0.895837,943198
20,0.819895,0.904061,8093548
21,0.830268,0.909986,8790125
22,0.812534,0.900126,9866436
23,0.830385,0.907879,5212607
24,0.791433,0.885811,2842799
25,0.754806,0.864545,1801363
26,0.853298,0.922771,3592466
27,0.800339,0.893634,4389904
28,0.833435,0.909512,8537845
29,0.840024,0.915294,6830983
30,0.729329,0.847006,7861867
31,0.807055,0.896719,3862986
32,0.843151,0.915426,1403379
33,0.714811,0.838431,4265545
34,0.829689,0.909737,1033902
35,0.783078,0.881116,6004054
36,0.805167,0.895505,9676941
37,0.761349,0.865593,1092334
38,0.805211,0.895633,8690896
39,0.734231,0.848781,1593244
40,0.812625,0.900018,8026037
41,0.753582,0.861111,3131870
42,0.731905,0.848523,3956842
43,0.752614,0.865452,4556903
44,0.705977,0.830610,5323418
45,0.844845,0.918248,7450082
46,0.772631,0.876843,9700420
47,0.822319,0.904968,9587534
48,0.737770,0.850863,885283
49,0.745015,0.860659,205083
50,0.818018,0.903462,530733
51,0.788081,0.886615,8978831
52,0.710158,0.835128,8995209
53,0.792661,0.888164,397170
54,0.798558,0.892372,4191438
55,0.769119,0.875048,1838008
56,0.813145,0.900277,2198533
57,0.724345,0.843950,7783905
58,0.786108,0.882820,6227913
59,0.791704,0.888191,736378
60,0.795788,0.890617,4614889
61,0.803269,0.894497,4089780
62,0.815378,0.901630,4599365
63,0.869666,0.931291,6018268
64,0.847737,0.917733,8355325
65,0.796322,0.890598,5633267
66,0.873122,0.933559,2022323
67,0.711339,0.834828,8032266
68,0.805052,0.892285,6725601
69,0.844497,0.918057,713220
70,0.733830,0.847894,9625511
71,0.844799,0.918227,4751638
72,0.822658,0.905599,3845090
73,0.724833,0.845045,3582353
74,0.766638,0.868078,9308542
75,0.794971,0.887946,9168509
76,0.825791,0.907229,1032435
77,0.843510,0.917099,9008963
78,0.857934,0.925391,8756043
79,0.734196,0.854136,1917718
80,0.832107,0.911139,9214047
81,0.832867,0.910519,9286776
82,0.782544,0.882909,896549
83,0.833204,0.909611,8209256
84,0.768624,0.869810,9683947
85,0.778471,0.879040,5087988
86,0.743863,0.860229,47265
87,0.789832,0.884944,1882480
88,0.797059,0.891692,2871894
89,0.800291,0.890876,6275178
90,0.865892,0.929727,2618859
91,0.740332,0.852611,7486783
92,0.725432,0.844080,364958
93,0.767422,0.872365,7218224
94,0.813449,0.896865,3505052
95,0.783323,0.883459,8720284
96,0.766661,0.868659,2851491
97,0.902569,0.949329,5527375
98,0.803523,0.894150,6752551
99,0.713969,0.836247,9577093
100,0.808266,0.897369,6240596
101,0.803097,0.892613,6378062
102,0.725408,0.844769,4328732
103,0.806634,0.896850,85686
104,0.831305,0.909021,9960415
105,0.692825,0.823504,3637274
106,0.820090,0.904481,9254195
107,0.855872,0.924248,992851
108,0.717129,0.839982,2646238
109,0.819494,0.904244,8010238
110,0.715754,0.838221,2910569
111,0.771650,0.872990,1860285
112,0.774331,0.878278,7297015
113,0.732766,0.849778,3807119
114,0.721910,0.842390,69541
115,0.742338,0.854026,6980962
116,0.808532,0.897721,8895108
117,0.859114,0.925793,116806
118,0.826558,0.906121,8863443
119,0.733019,0.847445,1767003
120,0.838895,0.914963,6391985
121,0.719701,0.839107,1482302
122,0.713948,0.837090,9253786
123,0.784937,0.884336,6756943
124,0.745039,0.855753,8700526
125,0.715286,0.838617,2758839
126,0.789996,0.882014,5477228
127,0.806593,0.896785,1552018
128,0.717110,0.837474,8286215
129,0.804893,0.893631,2229779
130,0.836612,0.913731,1129112
131,0.793050,0.888799,4526811
132,0.731563,0.846947,8607842
133,0.836950,0.913551,5457844
134,0.824123,0.906456,4612497
135,0.860887,0.926924,8568257
136,0.725477,0.844519,9095119
137,0.724424,0.842115,3866692
138,0.802615,0.894261,9561108
139,0.786114,0.884801,1741357
140,0.779678,0.881483,1876931
141,0.761261,0.866402,2471678
142,0.784240,0.879056,3601642
143,0.716934,0.837574,9173947
144,0.831485,0.910804,6278798
145,0.823250,0.905690,3671184
146,0.800220,0.893064,6154910
147,0.795622,0.890240,5173907
148,0.744974,0.855749,3787991
149,0.824832,0.906850,5018353
150,0.773488,0.875510,6940910
151,0.754035,0.865534,179976
152,0.781755,0.882058,6500655
153,0.774742,0.878394,6194697
154,0.776728,0.879831,6936920
155,0.720340,0.839603,5201182
156,0.808370,0.895508,8953537
157,0.822497,0.905548,2414149
158,0.792498,0.888333,6753201
159,0.806962,0.896928,7239752
160,0.770398,0.872009,4643928
161,0.795066,0.889734,7882313
162,0.769574,0.875404,1766564
163,0.715514,0.836399,3251770
164,0.713356,0.835569,3340157
165,0.824910,0.907054,6379062
166,0.689454,0.820523,1820028
167,0.805170,0.895986,2435276
168,0.758187,0.868259,245754
169,0.837507,0.913640,1381137
170,0.744624,0.856562,4176634
171,0.792661,0.888317,2122686
172,0.727928,0.845764,3852816
173,0.796196,0.890847,7778277
174,0.716114,0.836889,1296633
175,0.832996,0.911766,131614
176,0.714973,0.836990,1449461
177,0.818666,0.903330,7451544
178,0.849523,0.920633,5305521
179,0.709827,0.834526,5237453
