alpha,MSE,MAE,Time
868,0.820333,0.904431,9628016
869,0.834570,0.911855,74132408
870,0.813264,0.899093,49963643
871,0.888707,0.940961,82190931
872,0.820031,0.904256,136673638
873,0.846887,0.918607,9486042
874,0.905140,0.949686,84967609
875,0.834570,0.911855,139295283
876,0.833560,0.911266,40040202
877,0.834570,0.911855,60617104
878,0.909515,0.952193,11662430
879,0.858239,0.923693,17548271
880,0.833955,0.911320,24144690
881,0.838237,0.913875,115408806
882,0.862914,0.927642,77602192
883,0.795583,0.890482,101722921
884,0.922007,0.958730,23237304
885,0.813159,0.899029,16251942
886,0.819930,0.904198,68259746
887,0.816737,0.902074,147895900
888,0.866634,0.929080,76993038
889,0.899129,0.947147,117171982
890,0.807594,0.896628,109556527
891,0.843696,0.916786,6176510
892,0.846387,0.918323,119482988
893,0.857980,0.924474,100560008
894,0.921561,0.958588,132999132
895,0.857387,0.924143,113362184
896,0.813156,0.899012,57542104
897,0.820333,0.904431,124216950
898,0.808569,0.896895,113879648
899,0.881131,0.937293,67170121
900,0.845339,0.917595,48710255
901,0.846887,0.918607,14204187
902,0.825256,0.906000,149361053
903,0.820333,0.904431,35744789
904,0.824031,0.905777,23690230
905,0.932175,0.963924,84689558
906,0.825469,0.906163,25400969
907,0.813702,0.899978,63730433
908,0.846887,0.918607,145306663
909,0.836383,0.913484,37063399
910,0.809957,0.898512,81278705
911,0.832469,0.910837,19812250
912,0.846887,0.918607,2833102
913,0.836383,0.913484,9241793
914,0.819050,0.902687,121535172
915,0.860524,0.926284,26070406
916,0.834469,0.911797,25493736
917,0.846676,0.918471,40155814
918,0.820333,0.904431,24327203
919,0.884932,0.938923,102486775
920,0.881611,0.937511,7688692
921,0.820333,0.904431,133883730
922,0.794552,0.889856,108663285
923,0.820333,0.904431,127171681
924,0.876015,0.934665,84804634
925,0.795583,0.890482,92023314
926,0.903352,0.948854,90894762
927,0.820021,0.904237,142346739
928,0.868783,0.930380,66601160
929,0.867159,0.929447,55135306
930,0.862914,0.927642,59877757
931,0.795583,0.890482,115311416
932,0.846600,0.918455,69339494
933,0.888694,0.940414,59599706
934,0.834570,0.911855,1417102
935,0.808406,0.896910,93029725
936,0.861627,0.926215,144289265
937,0.834570,0.911855,26818071
938,0.895799,0.945320,7121054
939,0.915086,0.955155,139956824
940,0.906588,0.950585,63881470
941,0.885534,0.939275,88399760
942,0.844457,0.917174,10129971
943,0.862914,0.927642,66714573
944,0.809961,0.898081,97641553
945,0.844782,0.917391,131665143
946,0.857980,0.924474,92784979
947,0.820031,0.904256,123135290
948,0.836383,0.913484,22181853
949,0.825892,0.906445,117112182
950,0.862498,0.927383,75982961
951,0.818650,0.902305,29870546
952,0.822346,0.904919,101356809
953,0.846887,0.918607,35007143
954,0.882040,0.937824,7403123
955,0.834570,0.911855,36522339
956,0.862394,0.927319,127030457
957,0.811175,0.899219,98297886
958,0.846887,0.918607,29229974
959,0.799080,0.891920,43992514
960,0.875165,0.933813,3794089
961,0.795583,0.890482,89107732
962,0.813264,0.899093,9664826
963,0.831560,0.910125,73133583
964,0.846096,0.918165,148707438
965,0.844255,0.917036,11081928
966,0.846887,0.918607,16524205
967,0.834145,0.912170,143357599
968,0.834232,0.912160,37899999
969,0.834624,0.912242,23645260
970,0.900792,0.947958,133675320
971,0.837823,0.913626,101781470
972,0.811095,0.899209,112045020
973,0.834064,0.911556,143805292
974,0.881637,0.937592,18856940
975,0.832171,0.910487,60047470
976,0.813264,0.899093,125831331
977,0.892668,0.943586,111641919
978,0.819930,0.904198,33543656
979,0.820333,0.904431,148013185
980,0.857769,0.924338,79114998
981,0.822156,0.904819,109526618
982,0.815336,0.901470,28244628
983,0.825892,0.906445,30832703
984,0.862914,0.927642,144533761
985,0.820232,0.904373,35647752
986,0.849286,0.919936,67355043
987,0.841955,0.915739,121925114
988,0.955996,0.976627,133945638
989,0.857980,0.924474,96585018
990,0.813264,0.899093,16278524
991,0.834258,0.911661,137739727
992,0.819920,0.904180,36053646
993,0.825784,0.906364,25943351
994,0.846887,0.918607,61234207
995,0.846059,0.918066,35121980
996,0.819108,0.902240,37025279
997,0.806442,0.896284,77758412
998,0.834251,0.911638,28840476
999,0.882428,0.938035,74925279
1000,0.809961,0.898081,101403673
