alpha,MSE,MAE,Time
0.00,0.977907,0.988889,0.012133
0.01,0.703856,0.838620,0.004471
0.02,0.550130,0.740775,0.004204
0.03,0.438600,0.660601,0.004100
0.04,0.361839,0.598945,0.004029
0.05,0.309299,0.552703,0.003984
0.06,0.265870,0.510947,0.003952
0.07,0.246409,0.490898,0.003913
0.08,0.228791,0.472093,0.003896
0.09,0.217872,0.460104,0.003880
0.10,0.209415,0.450291,0.003864
0.11,0.205302,0.445340,0.003862
0.12,0.199289,0.437949,0.003850
0.13,0.197321,0.435507,0.003844
0.14,0.195378,0.433063,0.003844
0.15,0.189702,0.426194,0.003835
0.16,0.183890,0.419745,0.003833
0.17,0.180368,0.415412,0.003820
0.18,0.176723,0.411321,0.003814
0.19,0.173482,0.407624,0.003814
0.20,0.166739,0.399883,0.003802
0.21,0.165366,0.397753,0.003779
0.22,0.163783,0.395926,0.003778
0.23,0.160842,0.392378,0.003777
0.24,0.145619,0.367812,0.003766
0.25,0.145619,0.367812,0.003763
0.26,0.144392,0.366179,0.003752
0.27,0.144392,0.366179,0.003747
0.28,0.144392,0.366179,0.003750
0.29,0.143445,0.364885,0.003748
0.30,0.143445,0.364885,0.003750
0.31,0.142723,0.363539,0.003749
0.32,0.142723,0.363539,0.003747
0.33,0.141454,0.361871,0.003740
0.34,0.141454,0.361871,0.003741
0.35,0.141454,0.361871,0.003736
0.36,0.140672,0.360711,0.003735
0.37,0.140478,0.360317,0.003734
0.38,0.140335,0.359972,0.003736
0.39,0.140380,0.359586,0.003731
0.40,0.140380,0.359586,0.003729
0.41,0.140380,0.359586,0.003731
0.42,0.140380,0.359586,0.003730
0.43,0.140380,0.359586,0.003729
0.44,0.140380,0.359586,0.003731
0.45,0.140380,0.359586,0.003730
0.46,0.140380,0.359586,0.003733
0.47,0.142044,0.360700,0.003737
0.48,0.142044,0.360700,0.003732
0.49,0.142044,0.360700,0.003729
0.50,0.142044,0.360700,0.003730
0.51,0.142044,0.360700,0.003731
0.52,0.142044,0.360700,0.003732
0.53,0.142044,0.360700,0.003728
0.54,0.142044,0.360700,0.003728
0.55,0.142044,0.360700,0.003733
0.56,0.142044,0.360700,0.003730
0.57,0.142044,0.360700,0.003730
0.58,0.143728,0.363330,0.003726
0.59,0.147132,0.369386,0.003715
0.60,0.152929,0.377889,0.003703
0.61,0.152929,0.377889,0.003696
0.62,0.152929,0.377889,0.003694
0.63,0.152929,0.377889,0.003695
0.64,0.152929,0.377889,0.003699
0.65,0.152929,0.377889,0.003697
0.66,0.152929,0.377889,0.003694
0.67,0.155385,0.382119,0.003699
0.68,0.158036,0.386380,0.003702
0.69,0.158036,0.386380,0.003696
0.70,0.158036,0.386380,0.003695
0.71,0.167435,0.400196,0.003699
0.72,0.170859,0.404994,0.003693
0.73,0.174471,0.409996,0.003692
0.74,0.182285,0.419871,0.003686
0.75,0.186380,0.425051,0.003688
0.76,0.195001,0.435546,0.003688
0.77,0.204192,0.446093,0.003683
0.78,0.208973,0.451559,0.003684
0.79,0.214058,0.457267,0.003682
0.80,0.214058,0.457267,0.003677
0.81,0.214058,0.457267,0.003677
0.82,0.214058,0.457267,0.003677
0.83,0.219690,0.463434,0.003680
0.84,0.219690,0.463434,0.003673
0.85,0.219690,0.463434,0.003672
0.86,0.219690,0.463434,0.003673
0.87,0.219690,0.463434,0.003673
0.88,0.226042,0.470244,0.003678
0.89,0.226042,0.470244,0.003677
0.90,0.226042,0.470244,0.003673
0.91,0.226042,0.470244,0.003672
0.92,0.233029,0.477800,0.003669
0.93,0.240313,0.485583,0.003671
0.94,0.240313,0.485583,0.003673
0.95,0.279835,0.525303,0.003679
0.96,0.314611,0.557749,0.003691
0.97,0.342624,0.582710,0.003683
0.98,0.362323,0.599618,0.003678
0.99,0.507412,0.711345,0.003650
1.00,0.896566,0.946812,0.003568

FreqItem (alpha = 0.38)
FreqItem,0.140335,0.359972,0.003736

Mode (each dim)
Mode1,0.977907,0.988889,0.011479

Mode (all dim)
Mode2,0.896566,0.946812,0.003331

Medoid (ID=494)
Medoid,0.193961,0.429383,0.400673

ID,MSE,MAE,DataID
1,0.223591,0.464779,206190
