alpha,MSE,MAE,Time
72,0.321640,0.563486,921332
73,0.217702,0.458663,858377
74,0.224197,0.465206,2230445
75,0.268379,0.514179,2196892
76,0.295808,0.541040,247384
77,0.224164,0.465114,2158662
78,0.266062,0.509374,2098060
79,0.268494,0.511928,459509
80,0.209615,0.448133,2207803
81,0.320283,0.563511,2225230
82,0.241577,0.482676,214824
83,0.249427,0.494845,1967042
84,0.339398,0.577654,2320397
85,0.204120,0.440652,1219147
86,0.260265,0.504788,11325
87,0.213728,0.454450,451066
88,0.204337,0.442046,688142
89,0.340236,0.580007,1503613
90,0.294759,0.538250,627512
91,0.235224,0.478425,1793929
92,0.247456,0.492288,87448
93,0.263589,0.506783,1729578
94,0.263232,0.505906,839855
95,0.237380,0.481699,2089491
96,0.195503,0.431206,683253
97,0.354424,0.591858,1324430
98,0.227386,0.468780,1617997
99,0.212177,0.453153,2294794
100,0.331759,0.572596,1495326
101,0.226295,0.468938,1528265
102,0.349380,0.587478,1037219
103,0.236117,0.479322,20531
104,0.232534,0.476703,2386643
105,0.322379,0.565129,871537
106,0.240195,0.482513,2217423
107,0.244456,0.487425,237899
108,0.247234,0.491380,634072
109,0.250225,0.494619,1919355
110,0.242457,0.484626,697409
111,0.268839,0.511862,445748
112,0.257419,0.500157,1748458
113,0.255580,0.501047,912234
114,0.235325,0.476506,16663
115,0.212069,0.451439,1672728
116,0.285526,0.530279,2131381
117,0.319522,0.561750,27988
118,0.232559,0.476108,2123794
119,0.263938,0.507622,423396
120,0.282865,0.527891,1531601
121,0.325645,0.567009,355178
122,0.378711,0.612320,2217325
123,0.202633,0.440452,1619050
124,0.205662,0.443934,2084757
125,0.326493,0.569229,661053
126,0.230721,0.473113,1312414
127,0.337339,0.572258,371883
128,0.282722,0.526651,1985483
129,0.334738,0.574278,534283
130,0.222429,0.463873,270549
131,0.267899,0.513287,1084681
132,0.244385,0.488918,2062549
133,0.248630,0.490363,1307769
134,0.254958,0.500662,1105213
135,0.286506,0.529947,2053064
136,0.292049,0.534983,2179306
137,0.218397,0.459805,926509
138,0.240195,0.482513,2290964
139,0.233865,0.476075,417251
140,0.294933,0.540342,449736
141,0.200927,0.437753,592245
142,0.226708,0.468638,862999
143,0.270295,0.514673,2198195
144,0.260172,0.502854,1504480
145,0.238086,0.479179,879662
146,0.211035,0.450022,1474795
147,0.323324,0.564846,1239734
148,0.204166,0.441558,907651
149,0.246084,0.488219,1202461
150,0.244904,0.485309,1663131
151,0.301659,0.544810,43124
152,0.227171,0.470424,1557640
153,0.264020,0.505048,1484328
154,0.197719,0.435362,1662174
155,0.333736,0.574179,1246269
156,0.209924,0.447405,2145382
157,0.323692,0.566076,578461
158,0.245991,0.488320,1618153
159,0.340715,0.580488,1734737
160,0.234251,0.477981,1112744
161,0.246694,0.491420,1888703
162,0.242987,0.486013,423291
163,0.231829,0.473762,779165
164,0.285516,0.529370,800344
165,0.360479,0.592902,1528504
166,0.235856,0.478468,436102
167,0.306057,0.550537,583523
168,0.294177,0.538454,58886
169,0.364557,0.601214,330938
170,0.262862,0.505926,1000775
171,0.207018,0.445044,508622
172,0.269968,0.514826,923184
