alpha,MSE,MAE,Time
0.00,0.987855,0.993900,0.007131
0.01,0.880336,0.938224,0.002217
0.02,0.823601,0.907397,0.002082
0.03,0.774558,0.879807,0.002022
0.04,0.746172,0.863347,0.001996
0.05,0.718378,0.846860,0.001976
0.06,0.689743,0.829343,0.001959
0.07,0.679956,0.823233,0.001949
0.08,0.666356,0.814765,0.001935
0.09,0.653714,0.806869,0.001930
0.10,0.646647,0.802304,0.001920
0.11,0.637039,0.796021,0.001909
0.12,0.628941,0.790534,0.001902
0.13,0.618324,0.783239,0.001885
0.14,0.608261,0.776212,0.001876
0.15,0.604628,0.773493,0.001859
0.16,0.601372,0.770721,0.001853
0.17,0.597838,0.767403,0.001837
0.18,0.597209,0.766705,0.001831
0.19,0.597209,0.766705,0.001835
0.20,0.597043,0.766420,0.001827
0.21,0.597365,0.766424,0.001825
0.22,0.597365,0.766424,0.001828
0.23,0.598135,0.766750,0.001820
0.24,0.601929,0.769065,0.001801
0.25,0.603538,0.769964,0.001795
0.26,0.605494,0.772249,0.001789
0.27,0.625566,0.788785,0.001750
0.28,0.628758,0.790753,0.001744
0.29,0.628758,0.790753,0.001746
0.30,0.628758,0.790753,0.001741
0.31,0.633363,0.793706,0.001736
0.32,0.633363,0.793706,0.001734
0.33,0.633363,0.793706,0.001737
0.34,0.639098,0.797346,0.001753
0.35,0.639098,0.797346,0.001760
0.36,0.639098,0.797346,0.001751
0.37,0.639098,0.797346,0.001753
0.38,0.646631,0.801945,0.001743
0.39,0.646631,0.801945,0.001740
0.40,0.681984,0.823120,0.001701
0.41,0.681984,0.823120,0.001697
0.42,0.681984,0.823120,0.001698
0.43,0.681984,0.823120,0.001698
0.44,0.681984,0.823120,0.001695
0.45,0.694054,0.830908,0.001692
0.46,0.706990,0.839139,0.001691
0.47,0.749149,0.864366,0.001637
0.48,0.749149,0.864366,0.001635
0.49,0.781931,0.883571,0.001608
0.50,0.781931,0.883571,0.001606
0.51,0.781931,0.883571,0.001607
0.52,0.781931,0.883571,0.001606
0.53,0.800843,0.894317,0.001606
0.54,0.821169,0.905673,0.001578
0.55,0.821169,0.905673,0.001577
0.56,0.821169,0.905673,0.001576
0.57,0.843423,0.917978,0.001564
