alpha,MSE,MAE,Time
0.00,0.996461,0.998230,0.035561
0.01,0.830459,0.910675,0.030389
0.02,0.741422,0.859999,0.030347
0.03,0.717170,0.845502,0.030342
0.04,0.688925,0.828243,0.030341
0.05,0.688925,0.828243,0.030338
0.06,0.679812,0.822734,0.030334
0.07,0.679812,0.822734,0.030331
0.08,0.671931,0.818088,0.030335
0.09,0.671931,0.818088,0.030331
0.10,0.664398,0.813172,0.030337
0.11,0.664398,0.813172,0.030330
0.12,0.651483,0.805968,0.030326
0.13,0.644468,0.801219,0.030326
0.14,0.637896,0.797343,0.030321
0.15,0.637896,0.797343,0.030318
0.16,0.637896,0.797343,0.030317
0.17,0.637896,0.797343,0.030318
0.18,0.637896,0.797343,0.030317
0.19,0.637896,0.797343,0.030317
0.20,0.637896,0.797343,0.030316
0.21,0.637896,0.797343,0.030316
0.22,0.637896,0.797343,0.030316
0.23,0.637896,0.797343,0.030316
0.24,0.637896,0.797343,0.030316
0.25,0.637896,0.797343,0.030317
0.26,0.637896,0.797343,0.030316
0.27,0.637896,0.797343,0.030316
0.28,0.637896,0.797343,0.030316
0.29,0.637896,0.797343,0.030315
0.30,0.661520,0.810911,0.030307
0.31,0.661520,0.810911,0.030306
0.32,0.679018,0.821157,0.030303
0.33,0.679018,0.821157,0.030300
0.34,0.679018,0.821157,0.030298
0.35,0.679018,0.821157,0.030297
0.36,0.679018,0.821157,0.030297
0.37,0.679018,0.821157,0.030295
0.38,0.707204,0.837972,0.030301
0.39,0.707204,0.837972,0.030299
0.40,0.707204,0.837972,0.030298
0.41,0.707204,0.837972,0.030296
0.42,0.707204,0.837972,0.030295
0.43,0.707204,0.837972,0.030294
0.44,0.707204,0.837972,0.030294
0.45,0.707204,0.837972,0.030293
0.46,0.707204,0.837972,0.030292
0.47,0.707204,0.837972,0.030293
0.48,0.707204,0.837972,0.030292
0.49,0.707204,0.837972,0.030292
0.50,0.707204,0.837972,0.030291
0.51,0.707204,0.837972,0.030291
0.52,0.707204,0.837972,0.030292
0.53,0.707204,0.837972,0.030290
0.54,0.707204,0.837972,0.030291
0.55,0.707204,0.837972,0.030291
0.56,0.765823,0.873243,0.030296
0.57,0.765823,0.873243,0.030295
0.58,0.765823,0.873243,0.030294
0.59,0.765823,0.873243,0.030292
0.60,0.765823,0.873243,0.030292
0.61,0.765823,0.873243,0.030290
0.62,0.765823,0.873243,0.030291
0.63,0.765823,0.873243,0.030289
0.64,0.765823,0.873243,0.030290
0.65,0.765823,0.873243,0.030289
0.66,0.765823,0.873243,0.030288
0.67,0.850560,0.921737,0.030285
0.68,0.850560,0.921737,0.030284
0.69,0.850560,0.921737,0.030284
0.70,0.850560,0.921737,0.030284
0.71,0.850560,0.921737,0.030283
0.72,0.850560,0.921737,0.030283
0.73,0.850560,0.921737,0.030284
0.74,0.850560,0.921737,0.030283
0.75,0.850560,0.921737,0.030283
0.76,0.850560,0.921737,0.030283
0.77,0.850560,0.921737,0.030283
0.78,0.850560,0.921737,0.030283
0.79,0.850560,0.921737,0.030282
0.80,0.850560,0.921737,0.030284
0.81,0.850560,0.921737,0.030282
0.82,0.850560,0.921737,0.030283
0.83,0.850560,0.921737,0.030283
0.84,0.850560,0.921737,0.030283
0.85,0.850560,0.921737,0.030283
0.86,0.850560,0.921737,0.030283
0.87,0.850560,0.921737,0.030285
0.88,0.850560,0.921737,0.030283
0.89,0.850560,0.921737,0.030299
0.90,0.850560,0.921737,0.030283
0.91,0.850560,0.921737,0.030284
0.92,0.850560,0.921737,0.030283
0.93,0.850560,0.921737,0.030283
0.94,0.850560,0.921737,0.030283
