alpha,MSE,MAE,Time
0.00,0.978162,0.989020,0.012341
0.01,0.700965,0.836895,0.004515
0.02,0.532425,0.728760,0.004212
0.03,0.438169,0.660324,0.004124
0.04,0.342726,0.582660,0.004055
0.05,0.304080,0.547822,0.004015
0.06,0.258066,0.503058,0.003958
0.07,0.235989,0.479757,0.003926
0.08,0.222766,0.465226,0.003923
0.09,0.216099,0.457937,0.003915
0.10,0.203248,0.443022,0.003901
0.11,0.199069,0.437887,0.003895
0.12,0.191056,0.427579,0.003873
0.13,0.191056,0.427579,0.003868
0.14,0.187442,0.422635,0.003873
0.15,0.185744,0.420238,0.003859
0.16,0.183666,0.418200,0.003862
0.17,0.181639,0.416182,0.003860
0.18,0.177792,0.412210,0.003860
0.19,0.169644,0.402236,0.003828
0.20,0.167811,0.400264,0.003834
0.21,0.167811,0.400264,0.003828
0.22,0.164485,0.396587,0.003825
0.23,0.163153,0.394936,0.003817
0.24,0.161726,0.393309,0.003817
0.25,0.157725,0.388402,0.003811
0.26,0.144415,0.365889,0.003788
0.27,0.143344,0.364099,0.003789
0.28,0.143344,0.364099,0.003784
0.29,0.143344,0.364099,0.003784
0.30,0.143344,0.364099,0.003784
0.31,0.141742,0.361858,0.003779
0.32,0.141052,0.360907,0.003774
0.33,0.140489,0.359723,0.003774
0.34,0.140489,0.359723,0.003773
0.35,0.139611,0.358417,0.003773
0.36,0.139611,0.358417,0.003768
0.37,0.139611,0.358417,0.003768
0.38,0.139611,0.358417,0.003768
0.39,0.139644,0.358388,0.003772
0.40,0.139644,0.358388,0.003768
0.41,0.139644,0.358388,0.003767
0.42,0.139842,0.358578,0.003772
0.43,0.139842,0.358578,0.003773
0.44,0.139842,0.358578,0.003769
0.45,0.139842,0.358578,0.003768
0.46,0.139842,0.358578,0.003768
0.47,0.141542,0.359466,0.003777
0.48,0.141542,0.359466,0.003768
0.49,0.141542,0.359466,0.003769
0.50,0.141542,0.359466,0.003769
0.51,0.141542,0.359466,0.003774
0.52,0.141542,0.359466,0.003769
0.53,0.141542,0.359466,0.003768
0.54,0.141542,0.359466,0.003770
0.55,0.141542,0.359466,0.003769
0.56,0.143077,0.361558,0.003771
0.57,0.143077,0.361558,0.003768
0.58,0.143077,0.361558,0.003766
0.59,0.143077,0.361558,0.003765
0.60,0.144968,0.364156,0.003772
0.61,0.150687,0.373826,0.003751
0.62,0.152782,0.377230,0.003737
0.63,0.152782,0.377230,0.003734
0.64,0.152782,0.377230,0.003738
0.65,0.152782,0.377230,0.003735
0.66,0.152782,0.377230,0.003732
0.67,0.152782,0.377230,0.003734
0.68,0.152782,0.377230,0.003734
0.69,0.155424,0.381647,0.003738
0.70,0.158237,0.386178,0.003736
0.71,0.158237,0.386178,0.003732
0.72,0.168110,0.400484,0.003733
0.73,0.175370,0.410084,0.003728
0.74,0.175370,0.410084,0.003723
0.75,0.179202,0.415142,0.003723
0.76,0.187409,0.425711,0.003724
0.77,0.196158,0.436253,0.003728
0.78,0.210500,0.452572,0.003722
0.79,0.210500,0.452572,0.003716
0.80,0.210500,0.452572,0.003711
0.81,0.215760,0.458451,0.003720
0.82,0.215760,0.458451,0.003713
0.83,0.221461,0.464622,0.003712
0.84,0.221461,0.464622,0.003714
0.85,0.221461,0.464622,0.003712
0.86,0.221461,0.464622,0.003713
0.87,0.221461,0.464622,0.003713
0.88,0.221461,0.464622,0.003710
0.89,0.228026,0.471638,0.003715
0.90,0.228026,0.471638,0.003716
0.91,0.234976,0.479163,0.003711
0.92,0.242169,0.486850,0.003710
0.93,0.242169,0.486850,0.003705
0.94,0.242169,0.486850,0.003704
0.95,0.289948,0.534637,0.003714
0.96,0.334529,0.575410,0.003713
0.97,0.343971,0.583693,0.003715
0.98,0.373739,0.609023,0.003707
0.99,0.384081,0.617551,0.003706
1.00,0.897107,0.947118,0.003603

FreqItem (alpha = 0.35)
FreqItem,0.139611,0.358417,0.003773

Mode (each dim)
Mode1,0.978162,0.989020,0.012127

Mode (all dim)
Mode2,0.897107,0.947118,0.003501

Medoid (ID=779)
Medoid,0.192476,0.427485,0.401977

ID,MSE,MAE,DataID
1,0.304875,0.548180,140793
2,0.209831,0.448303,33260
3,0.210503,0.448360,1490898
4,0.367931,0.603975,93772
5,0.361007,0.592720,530865
6,0.286913,0.529298,966671
7,0.257694,0.500383,1986424
8,0.219449,0.460462,939711
9,0.242885,0.484930,2218523
10,0.220617,0.461568,1553771
11,0.261340,0.504594,1556531
12,0.302788,0.547252,2180817
13,0.197695,0.434312,445648
14,0.238833,0.482810,685016
15,0.255295,0.498078,122700
16,0.206218,0.445542,415917
17,0.226720,0.468185,2069993
18,0.304098,0.548017,1891098
19,0.211282,0.450492,1169252
20,0.449591,0.669248,1060681
21,0.245089,0.488101,777762
22,0.238858,0.480368,1683130
23,0.381336,0.615549,820318
24,0.491143,0.698071,120415
25,0.311904,0.553896,1135296
26,0.241392,0.483400,2190204
27,0.226761,0.468261,2074224
28,0.199638,0.435353,55885
29,0.216753,0.456695,1148501
30,0.309585,0.552995,977522
31,0.239619,0.482327,1528295
32,0.333709,0.573896,1289294
33,0.320130,0.562873,1010783
34,0.229702,0.472671,623065
35,0.302073,0.546157,1383067
36,0.242015,0.483915,1541648
37,0.288957,0.533681,1589736
38,0.226349,0.468163,973363
39,0.319995,0.562376,85231
40,0.305351,0.549363,1412131
41,0.241095,0.484726,131007
42,0.238868,0.481835,1641762
43,0.276165,0.519764,1196821
44,0.374715,0.609215,576655
45,0.212343,0.451687,2326779
46,0.285046,0.529059,1319521
47,0.244348,0.486807,992573
48,0.272693,0.517290,2000644
49,0.319167,0.562144,814492
50,0.299493,0.543864,2161826
51,0.213013,0.451816,665197
52,0.205977,0.444892,1592254
53,0.258732,0.503538,1448828
54,0.230066,0.472141,1485516
55,0.271684,0.515765,1712670
56,0.231330,0.472241,187996
57,0.318472,0.561650,1279592
58,0.226646,0.468514,1390766
59,0.338146,0.573557,243881
60,0.267640,0.512073,31965
61,0.218159,0.458240,2368288
62,0.361007,0.592720,1772176
63,0.252407,0.494565,1321260
64,0.222652,0.464445,982943
65,0.265455,0.510626,2395242
66,0.256580,0.499220,308199
67,0.307779,0.550147,128464
68,0.214860,0.453881,1588851
69,0.212533,0.451370,1281563
70,0.207218,0.444840,213696
71,0.291618,0.536331,604855
72,0.235706,0.477139,1412570
73,0.197061,0.431813,1855458
74,0.254508,0.497176,1801676
75,0.239234,0.480516,1989226
76,0.210818,0.449238,1786110
77,0.246263,0.488078,725070
78,0.323058,0.561045,585672
79,0.224943,0.466277,1390626
80,0.314125,0.557377,1539562
81,0.207967,0.445653,351370
82,0.470726,0.684662,2055824
83,0.250142,0.493011,735689
84,0.336935,0.577210,1800199
85,0.251025,0.493608,1145212
86,0.302891,0.546889,52231
87,0.268891,0.514060,1988195
88,0.301535,0.546191,28677
89,0.220963,0.461730,1442998
90,0.210753,0.448175,2232077
91,0.215292,0.455914,60643
92,0.215079,0.453850,1415158
93,0.194772,0.429205,1608126
94,0.216653,0.455750,1381903
95,0.230510,0.474304,1974
96,0.202197,0.437764,1607240
97,0.325233,0.566040,1690102
98,0.281762,0.524710,130439
99,0.280005,0.525330,799964
100,0.361007,0.592720,575537
101,0.209896,0.448427,344135
102,0.280108,0.525479,1404819
103,0.303190,0.547965,1988108
104,0.308832,0.552581,2199594
105,0.396308,0.627723,810368
106,0.304195,0.548256,1581207
107,0.216243,0.456964,1589576
108,0.236617,0.479251,1535439
109,0.360588,0.598087,2166880
110,0.275367,0.519421,584074
111,0.216453,0.456851,678873
112,0.283322,0.526129,122122
113,0.244400,0.486185,243770
114,0.241717,0.483120,1414563
115,0.271618,0.517049,1922321
116,0.211951,0.450491,1388983
117,0.278648,0.522266,1466794
118,0.304534,0.548387,1514389
119,0.256204,0.499918,1417660
120,0.306877,0.551156,513664
121,0.259381,0.502420,1350339
122,0.281717,0.525280,1478304
123,0.267639,0.510692,1928823
124,0.273686,0.516973,562337
125,0.206996,0.444781,464079
126,0.283691,0.527618,1930798
127,0.740990,0.857724,2169578
128,0.313520,0.556861,2154182
129,0.269376,0.514905,2061237
130,0.361007,0.592720,573414
131,0.234859,0.475491,333592
132,0.335864,0.577204,9244
133,0.244081,0.486693,1978234
134,0.241991,0.484581,2321700
135,0.265692,0.510360,2208839
136,0.194907,0.429451,392475
137,0.224054,0.466095,1506780
138,0.240144,0.481702,1402287
139,0.217884,0.457442,1927914
140,0.310401,0.553798,1277532
141,0.226867,0.467207,1986361
142,0.267245,0.513455,210660
143,0.222014,0.461825,1399655
144,0.214736,0.455076,2230132
145,0.252830,0.495676,1625224
146,0.232192,0.474771,925848
147,0.323466,0.565769,1222987
148,0.240737,0.483607,695890
149,0.401316,0.632123,44110
150,0.248418,0.492981,244520
151,0.232203,0.475758,1209555
152,0.271164,0.514373,1394449
153,0.207002,0.445534,1722824
154,0.249686,0.491485,742251
155,0.203223,0.441783,1956787
156,0.226720,0.468185,2186904
157,0.287940,0.533265,276921
158,0.206568,0.444775,1730237
159,0.337626,0.577939,1944958
160,0.263486,0.507531,2338159
161,0.227620,0.469877,2303652
162,0.226705,0.468132,2278550
