SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
150,0.096099,0.583834,0.74979,0.695247,16.73,16.68,0.2,0.2,3
150,0.099012,0.582503,0.749633,0.707602,16.77,16.7,0.2,0.2,3
150,0.092776,0.580686,0.747474,0.711807,16.11,16.04,0.2,0.2,3
150,0.098857,0.583182,0.751142,0.710219,16.88,16.81,0.2,0.2,3
150,0.09593,0.580558,0.748444,0.710062,16.33,16.27,0.2,0.2,3
150,0.097294,0.582211,0.750323,0.712704,16.61,16.55,0.2,0.2,3
150,0.100996,0.584709,0.752165,0.713001,16.4,16.32,0.2,0.2,3
150,0.097399,0.582912,0.750243,0.710929,16.76,16.7,0.2,0.2,3
150,0.094442,0.584972,0.751824,0.702775,17.06,16.97,0.2,0.2,3
150,0.094442,0.584972,0.751824,0.702775,16.94,16.88,0.2,0.2,3
150,0.099433,0.584193,0.751333,0.721295,16.8,16.74,0.2,0.2,3
150,0.089137,0.58219,0.749971,0.713677,16.35,16.29,0.2,0.2,3
150,0.099291,0.58265,0.750359,0.70818,16.59,16.54,0.2,0.2,3
150,0.100967,0.582982,0.750714,0.715379,17.25,17.18,0.2,0.2,3
150,0.091869,0.583538,0.750009,0.70831,16.74,16.69,0.2,0.2,3
150,0.099664,0.582228,0.749994,0.715284,16.86,16.81,0.2,0.2,3
150,0.103863,0.583476,0.751704,0.714907,17.07,17,0.2,0.2,3
150,0.10436,0.582949,0.750269,0.703798,17.02,16.95,0.2,0.2,3
150,0.091431,0.581197,0.748888,0.710558,16.98,16.91,0.2,0.2,3
150,0.093791,0.581963,0.750425,0.723439,17.3,17.24,0.2,0.2,3
150,0.090274,0.582756,0.750479,0.702422,17.3,17.23,0.2,0.2,3
150,0.098871,0.581957,0.749271,0.700407,16.85,16.78,0.2,0.2,3
150,0.094244,0.580122,0.747434,0.712986,16.89,16.82,0.2,0.2,3
150,0.088263,0.580958,0.748435,0.708605,16.65,16.59,0.2,0.2,3
