SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
200,0.075312,0.568318,0.738064,0.70901,18.2,18.13,0.2,0.2,3
200,0.07704,0.569184,0.738837,0.719386,18.03,17.96,0.2,0.2,3
200,0.082398,0.569865,0.738694,0.710543,18.46,18.4,0.2,0.2,3
200,0.083189,0.569227,0.739598,0.723581,18.58,18.51,0.2,0.2,3
200,0.076461,0.56884,0.739207,0.719841,19.64,19.43,0.2,0.2,3
200,0.084409,0.567693,0.738293,0.721887,20.48,19.7,0.2,0.2,3
200,0.081945,0.568757,0.73923,0.726856,20.4,20.13,0.2,0.2,3
200,0.074473,0.568157,0.738498,0.718187,20.56,19.91,0.2,0.2,3
200,0.082689,0.570301,0.740977,0.723755,19.95,19.51,0.2,0.2,3
200,0.075469,0.568426,0.73887,0.721479,19.9,19.74,0.2,0.2,3
200,0.086018,0.569658,0.739452,0.716598,20.33,20.19,0.2,0.2,3
200,0.082809,0.569961,0.739619,0.721675,20.11,19.88,0.2,0.2,3
200,0.076401,0.570054,0.739206,0.715989,20.22,19.73,0.2,0.2,3
200,0.073004,0.570518,0.740025,0.700669,20.62,20.17,0.2,0.2,3
200,0.075736,0.568836,0.738644,0.719189,20.47,19.76,0.2,0.2,3
200,0.082204,0.571114,0.74148,0.712451,20.72,19.91,0.2,0.2,3
200,0.08005,0.569717,0.739401,0.71619,20.83,20.41,0.2,0.2,3
200,0.078198,0.567585,0.738019,0.728179,19.73,19.25,0.2,0.2,3
200,0.073443,0.568232,0.738138,0.729932,19.84,19.68,0.2,0.2,3
200,0.082175,0.567404,0.738169,0.720822,20.43,20.22,0.2,0.2,3
200,0.077968,0.569119,0.739347,0.719721,20.99,20.45,0.2,0.2,3
200,0.076129,0.567959,0.738031,0.716957,20.66,20.12,0.2,0.2,3
200,0.07897,0.568683,0.73779,0.717616,21,20.26,0.2,0.2,3
200,0.073755,0.568512,0.739394,0.726977,21.36,20.95,0.2,0.2,3
200,0.078609,0.568108,0.739546,0.710978,20.98,20.61,0.2,0.2,3
200,0.073259,0.569124,0.73847,0.711627,21.21,21.03,0.2,0.2,3
200,0.076598,0.569284,0.739197,0.706956,20.03,19.95,0.2,0.2,3

250,0.06856,0.556092,0.728834,0.738495,21.13,21.06,0.2,0.2,3
250,0.068186,0.55754,0.731606,0.742397,21.85,21.78,0.2,0.2,3
250,0.064775,0.555872,0.728453,0.738729,21.29,21.21,0.2,0.2,3
250,0.067255,0.558032,0.730968,0.735691,22.04,21.95,0.2,0.2,3
250,0.06393,0.557549,0.730198,0.736076,21.85,21.77,0.2,0.2,3
250,0.064238,0.556825,0.729444,0.729791,21.49,21.42,0.2,0.2,3
250,0.063991,0.556551,0.729348,0.73743,22.21,22.14,0.2,0.2,3
250,0.061602,0.55584,0.728773,0.708839,21.43,21.36,0.2,0.2,3
250,0.062565,0.558763,0.731933,0.73128,22.72,22.64,0.2,0.2,3
250,0.064781,0.55678,0.730652,0.736089,21.96,21.88,0.2,0.2,3
250,0.068399,0.55735,0.729842,0.726169,21.9,21.83,0.2,0.2,3
250,0.067667,0.557662,0.73027,0.724017,22.37,22.29,0.2,0.2,3
250,0.063926,0.556362,0.73009,0.741075,23.11,23.04,0.2,0.2,3
250,0.066463,0.557538,0.73015,0.726418,22.59,22.51,0.2,0.2,3
250,0.065696,0.555074,0.728483,0.735666,22.68,22.62,0.2,0.2,3
250,0.061345,0.556281,0.730019,0.735335,23.32,23.23,0.2,0.2,3
250,0.063107,0.557205,0.729379,0.729857,22.56,22.51,0.2,0.2,3
250,0.064227,0.556511,0.72896,0.734318,22.73,22.65,0.2,0.2,3
250,0.068748,0.555476,0.728904,0.745608,23.08,22.99,0.2,0.2,3
250,0.065001,0.55824,0.731432,0.723061,22.91,22.83,0.2,0.2,3
250,0.064687,0.5565,0.729778,0.73306,23.55,23.47,0.2,0.2,3
250,0.066361,0.556028,0.729771,0.740038,23.4,23.31,0.2,0.2,3
250,0.068045,0.55752,0.730833,0.729473,23.91,23.8,0.2,0.2,3

300,0.057081,0.545816,0.720639,0.747868,25.57,25.46,0.2,0.2,3
300,0.057039,0.548102,0.723278,0.736565,25.72,25.63,0.2,0.2,3
300,0.057037,0.546484,0.721273,0.745578,26.66,26.56,0.2,0.2,3
300,0.062234,0.547828,0.723082,0.748236,26.31,26.21,0.2,0.2,3
300,0.065289,0.547994,0.723179,0.745548,26.66,26.56,0.2,0.2,3
300,0.058113,0.546931,0.722533,0.745733,27.82,27.71,0.2,0.2,3
300,0.062498,0.546523,0.721707,0.750579,26.58,26.48,0.2,0.2,3
300,0.062397,0.546355,0.721726,0.743333,28.39,28.3,0.2,0.2,3
300,0.065299,0.549335,0.724156,0.752698,28.77,28.69,0.2,0.2,3
300,0.065821,0.549421,0.723936,0.74927,28.68,28.58,0.2,0.2,3
300,0.064506,0.54822,0.722788,0.752058,28.48,28.39,0.2,0.2,3
300,0.0627,0.54829,0.724531,0.75759,29.23,29.14,0.2,0.2,3
300,0.063628,0.547321,0.721973,0.752176,29.12,29.03,0.2,0.2,3
300,0.058543,0.547917,0.723429,0.750925,29.83,29.72,0.2,0.2,3
300,0.061022,0.547663,0.722833,0.751689,29.82,29.73,0.2,0.2,3
300,0.0578,0.547509,0.72304,0.746961,30.27,30.18,0.2,0.2,3

350,0.05491,0.537365,0.714458,0.761952,33.31,33.2,0.2,0.2,3
350,0.060214,0.538943,0.715938,0.757592,33.18,33.07,0.2,0.2,3
350,0.057406,0.539514,0.716334,0.75912,34.45,34.33,0.2,0.2,3
350,0.05614,0.540427,0.717753,0.75865,34.12,34.01,0.2,0.2,3
350,0.056615,0.542289,0.71892,0.758468,34.14,34.03,0.2,0.2,3
350,0.056008,0.53981,0.717196,0.765582,34.91,34.81,0.2,0.2,3
350,0.059864,0.539761,0.716995,0.761982,34.46,34.35,0.2,0.2,3
350,0.055743,0.541099,0.718128,0.765333,34.89,34.79,0.2,0.2,3
350,0.057942,0.539596,0.717002,0.76154,34.85,34.73,0.2,0.2,3
350,0.055254,0.539585,0.716905,0.760973,34.63,34.52,0.2,0.2,3
350,0.050625,0.538988,0.716129,0.748982,35.27,35.15,0.2,0.2,3
350,0.056263,0.539997,0.718058,0.764057,35.2,35.09,0.2,0.2,3
350,0.055691,0.538285,0.71548,0.764101,35.7,35.6,0.2,0.2,3
350,0.057295,0.539824,0.71636,0.761756,35.5,35.37,0.2,0.2,3
350,0.055948,0.539593,0.716618,0.756603,35.34,35.23,0.2,0.2,3
350,0.054767,0.539833,0.717185,0.762643,35.78,35.68,0.2,0.2,3

400,0.047555,0.531242,0.709944,0.759734,37.44,37.32,0.2,0.2,3
400,0.05124,0.531998,0.710141,0.766455,38.01,37.89,0.2,0.2,3
400,0.046507,0.533676,0.712276,0.760235,38.18,38.07,0.2,0.2,3
400,0.051977,0.533791,0.711831,0.765815,38.81,38.69,0.2,0.2,3
400,0.046789,0.532951,0.71165,0.76509,38.39,38.28,0.2,0.2,3
400,0.050669,0.533712,0.711648,0.758721,39.4,39.28,0.2,0.2,3
400,0.04875,0.532975,0.71116,0.76368,40.25,40.13,0.2,0.2,3
400,0.054076,0.533567,0.711654,0.768327,40.4,40.27,0.2,0.2,3
400,0.048209,0.532781,0.711245,0.75571,39.97,39.85,0.2,0.2,3
400,0.051628,0.534756,0.71289,0.765101,41.34,41.2,0.2,0.2,3
400,0.049297,0.531609,0.709674,0.764545,40.19,40.07,0.2,0.2,3
400,0.050341,0.533612,0.713123,0.766979,39.61,39.5,0.2,0.2,3
400,0.052641,0.532395,0.711579,0.774468,41.38,41.26,0.2,0.2,3
400,0.048494,0.532867,0.710881,0.75768,41.52,41.39,0.2,0.2,3
400,0.047745,0.533019,0.711842,0.77046,41.88,41.75,0.2,0.2,3
400,0.045605,0.531638,0.710443,0.754095,41.03,40.89,0.2,0.2,3
400,0.04654,0.532678,0.711535,0.762387,41.34,41.22,0.2,0.2,3
400,0.047554,0.532275,0.711485,0.767485,41.55,41.42,0.2,0.2,3
400,0.048912,0.531315,0.710141,0.769435,42,41.88,0.2,0.2,3
400,0.047232,0.533506,0.712503,0.769477,43.06,42.92,0.2,0.2,3

450,0.044614,0.526037,0.705375,0.770986,43.69,43.57,0.2,0.2,3
450,0.043623,0.52603,0.704949,0.757131,45.23,45.1,0.2,0.2,3
450,0.04278,0.526299,0.7061,0.772281,44.26,44.13,0.2,0.2,3
450,0.046362,0.525999,0.70584,0.774148,44.57,44.43,0.2,0.2,3
450,0.044957,0.526413,0.7062,0.764277,45.64,45.5,0.2,0.2,3
450,0.046144,0.525443,0.705018,0.77502,43.67,43.54,0.2,0.2,3
450,0.041979,0.523361,0.703168,0.766341,45.71,45.58,0.2,0.2,3
450,0.040628,0.524354,0.703209,0.767114,44.95,44.81,0.2,0.2,3
450,0.043658,0.526068,0.706771,0.770519,44.62,44.48,0.2,0.2,3
450,0.044015,0.526606,0.706547,0.771278,46.21,46.07,0.2,0.2,3
450,0.045315,0.527158,0.706654,0.759513,46.85,46.7,0.2,0.2,3
450,0.044642,0.527097,0.707141,0.774938,47.47,47.33,0.2,0.2,3
450,0.043865,0.526269,0.70767,0.772259,46.15,46.02,0.2,0.2,3
450,0.044357,0.525403,0.706341,0.774301,46.69,46.55,0.2,0.2,3
450,0.041732,0.524766,0.704635,0.773927,46.13,45.99,0.2,0.2,3
450,0.040936,0.527136,0.707573,0.770357,47.74,47.58,0.2,0.2,3
450,0.043755,0.525051,0.705116,0.767076,46.91,46.78,0.2,0.2,3
450,0.040779,0.524297,0.705146,0.775221,48.42,48.28,0.2,0.2,3
450,0.047924,0.52665,0.706547,0.77057,46.87,46.73,0.2,0.2,3
450,0.044108,0.526379,0.705788,0.765642,48.33,48.18,0.2,0.2,3
450,0.043369,0.526893,0.706986,0.772921,50.3,50.17,0.2,0.2,3
450,0.043985,0.525517,0.704645,0.764416,48.92,48.75,0.2,0.2,3
450,0.043288,0.52619,0.706663,0.766569,50.11,49.93,0.2,0.2,3
450,0.040455,0.525876,0.705198,0.759475,48.42,48.29,0.2,0.2,3
450,0.047384,0.526698,0.706804,0.760585,48.33,48.18,0.2,0.2,3
450,0.043228,0.526956,0.706611,0.768299,50.27,50.11,0.2,0.2,3
450,0.04022,0.525169,0.705839,0.770885,50.86,50.71,0.2,0.2,3
450,0.04246,0.527347,0.706851,0.768739,51.04,50.87,0.2,0.2,3
450,0.044315,0.525281,0.704406,0.761046,49.12,48.97,0.2,0.2,3

500,0.038987,0.521179,0.702199,0.774539,53.46,53.3,0.2,0.2,3
