K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
300,0.059706,0.548055,0.722748,0.730855,25.43,25.34,0.2,0.2,3
300,0.057037,0.546484,0.721273,0.745578,26.61,26.48,0.2,0.2,3
300,0.064928,0.54976,0.724389,0.748225,26.26,26.14,0.2,0.2,3
300,0.066723,0.549076,0.723898,0.744179,26.19,26.1,0.2,0.2,3
300,0.063466,0.546114,0.720773,0.740815,25.57,25.49,0.2,0.2,3
300,0.065898,0.547941,0.724039,0.750489,26.3,26.2,0.2,0.2,3
300,0.062757,0.548306,0.723901,0.755428,26.8,26.7,0.2,0.2,3
300,0.066463,0.548677,0.72403,0.748673,26.86,26.76,0.2,0.2,3
300,0.062234,0.547828,0.723082,0.748236,26.39,26.3,0.2,0.2,3
300,0.065289,0.547994,0.723179,0.745548,26.54,26.44,0.2,0.2,3
300,0.057787,0.548485,0.72435,0.752966,27.36,27.27,0.2,0.2,3
300,0.061824,0.548076,0.72362,0.759876,27.08,26.96,0.2,0.2,3
300,0.0648,0.546941,0.722532,0.754265,27.48,27.39,0.2,0.2,3
300,0.058113,0.546931,0.722533,0.745733,27.83,27.75,0.2,0.2,3
300,0.062498,0.546523,0.721707,0.750579,26.54,26.46,0.2,0.2,3
300,0.062946,0.547545,0.723289,0.755714,27.54,27.43,0.2,0.2,3
300,0.062397,0.546355,0.721726,0.743333,28.27,28.18,0.2,0.2,3
300,0.061019,0.547124,0.723379,0.755723,28.23,28.14,0.2,0.2,3
300,0.060084,0.546971,0.722641,0.760277,28.24,28.15,0.2,0.2,3
300,0.065299,0.549335,0.724156,0.752698,28.73,28.59,0.2,0.2,3
300,0.065821,0.549421,0.723936,0.74927,28.64,28.54,0.2,0.2,3
300,0.05902,0.547981,0.723396,0.750403,28.5,28.34,0.2,0.2,3
300,0.058932,0.54742,0.722995,0.752408,29.28,29.14,0.2,0.2,3
300,0.064506,0.54822,0.722788,0.752058,28.53,28.44,0.2,0.2,3
300,0.064416,0.549913,0.726575,0.757,29.68,29.59,0.2,0.2,3
300,0.0627,0.54829,0.724531,0.75759,29.25,29.16,0.2,0.2,3
300,0.062747,0.54888,0.723848,0.740034,29.48,29.34,0.2,0.2,3

350,0.056208,0.540676,0.717901,0.762611,30.98,30.87,0.2,0.2,3
350,0.054945,0.54042,0.718285,0.762841,31.13,31.04,0.2,0.2,3
350,0.051332,0.539159,0.716255,0.755407,30.59,30.48,0.2,0.2,3
350,0.053485,0.539785,0.71677,0.760009,31.42,31.32,0.2,0.2,3
350,0.054685,0.539767,0.716712,0.759702,30.68,30.57,0.2,0.2,3
350,0.058922,0.540118,0.715871,0.757036,30.77,30.68,0.2,0.2,3
350,0.055456,0.539541,0.716868,0.76732,31.18,31.07,0.2,0.2,3
350,0.057787,0.539909,0.716756,0.7607,31.48,31.38,0.2,0.2,3
350,0.053916,0.540707,0.718073,0.759438,32.28,32.17,0.2,0.2,3
350,0.052475,0.540732,0.717771,0.753613,31.56,31.46,0.2,0.2,3
350,0.056238,0.538322,0.714989,0.760945,31.21,31.12,0.2,0.2,3
350,0.051897,0.539913,0.716748,0.757146,31.22,31.09,0.2,0.2,3
350,0.054467,0.541084,0.718923,0.759552,31.56,31.37,0.2,0.2,3
350,0.053399,0.540355,0.717096,0.757425,32.21,32.09,0.2,0.2,3
350,0.051238,0.539994,0.716809,0.752498,32.17,32.07,0.2,0.2,3
350,0.050568,0.53838,0.716254,0.767603,32.63,32.51,0.2,0.2,3
350,0.053599,0.540144,0.717204,0.755823,32.06,31.94,0.2,0.2,3
